date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-01,0.78180,0.78230,0.78010,0.78010,0.78280,0.78330,0.78110,0.78110,0.78060,58
2005-01-02,0.78020,0.78360,0.77250,0.77820,0.78120,0.78420,0.77280,0.77850,0.77835,8222
2005-01-03,0.77820,0.78000,0.76350,0.76480,0.77850,0.78030,0.76370,0.76500,0.76490,22678
2005-01-04,0.76490,0.76830,0.75930,0.76470,0.76510,0.76850,0.75950,0.76490,0.76480,21364
2005-01-05,0.76470,0.76500,0.75760,0.76070,0.76490,0.76520,0.75780,0.76090,0.76080,17482
2005-01-06,0.76090,0.76670,0.75390,0.75700,0.76110,0.76690,0.75410,0.75800,0.75750,16525
2005-01-08,0.75650,0.75710,0.75500,0.75700,0.75750,0.75810,0.75600,0.75800,0.75750,176
2005-01-09,0.75700,0.76090,0.75650,0.75740,0.75800,0.76110,0.75670,0.75760,0.75750,14884
2005-01-10,0.75740,0.76420,0.75730,0.76150,0.75760,0.76440,0.75750,0.76170,0.76160,17790
2005-01-11,0.76150,0.76970,0.75500,0.76680,0.76170,0.76990,0.75520,0.76700,0.76690,19686
2005-01-12,0.76680,0.76860,0.76420,0.76540,0.76700,0.76890,0.76440,0.76560,0.76550,17117
2005-01-13,0.76540,0.76570,0.75660,0.75830,0.76560,0.76590,0.75680,0.75930,0.75880,21784
2005-01-15,0.75850,0.75960,0.75850,0.75900,0.75950,0.76060,0.75950,0.76000,0.75950,73
2005-01-16,0.75900,0.76190,0.75730,0.75780,0.76000,0.76210,0.75750,0.75800,0.75790,10323
2005-01-17,0.75770,0.75880,0.75040,0.75530,0.75790,0.75900,0.75060,0.75550,0.75540,20941
2005-01-18,0.75530,0.76520,0.75350,0.76050,0.75550,0.76540,0.75370,0.76070,0.76060,20947
2005-01-19,0.76050,0.76220,0.75710,0.75860,0.76070,0.76240,0.75730,0.75880,0.75870,18379
2005-01-20,0.75860,0.77150,0.75710,0.76890,0.75880,0.77170,0.75730,0.76990,0.76940,18437
2005-01-21,0.76880,0.76900,0.76880,0.76890,0.76980,0.77000,0.76980,0.76990,0.76940,52
2005-01-22,0.76820,0.76870,0.76770,0.76860,0.76920,0.76970,0.76870,0.76960,0.76910,190
2005-01-23,0.76850,0.77180,0.76820,0.77010,0.76950,0.77200,0.76840,0.77030,0.77020,14609
2005-01-24,0.77010,0.77270,0.76280,0.76520,0.77030,0.77290,0.76300,0.76540,0.76530,19303
2005-01-25,0.76520,0.77610,0.76480,0.77500,0.76540,0.77630,0.76500,0.77520,0.77510,19231
2005-01-26,0.77490,0.77790,0.77300,0.77730,0.77510,0.77810,0.77320,0.77750,0.77740,20267
2005-01-27,0.77730,0.78020,0.77090,0.77450,0.77750,0.78040,0.77110,0.77550,0.77500,19371
2005-01-28,0.77440,0.77460,0.77440,0.77450,0.77540,0.77560,0.77540,0.77550,0.77500,85
2005-01-29,0.77380,0.77390,0.77280,0.77330,0.77480,0.77490,0.77380,0.77430,0.77380,112
2005-01-30,0.77320,0.77650,0.77180,0.77560,0.77420,0.77670,0.77200,0.77580,0.77570,19260
2005-01-31,0.77560,0.77630,0.76960,0.77390,0.77580,0.77650,0.76980,0.77410,0.77400,19762
2005-02-01,0.77390,0.77880,0.77190,0.77810,0.77410,0.77900,0.77220,0.77830,0.77820,20169
2005-02-02,0.77810,0.77840,0.76720,0.77070,0.77830,0.77860,0.76760,0.77090,0.77080,22192
2005-02-03,0.77060,0.77570,0.76810,0.76990,0.77080,0.77610,0.76830,0.77090,0.77040,22139
2005-02-04,0.77000,0.77000,0.76980,0.76990,0.77100,0.77100,0.77080,0.77090,0.77040,98
2005-02-05,0.76950,0.76950,0.76780,0.76830,0.77050,0.77050,0.76880,0.76930,0.76880,280
2005-02-06,0.76840,0.77370,0.76600,0.76730,0.76940,0.77390,0.76700,0.76750,0.76740,21012
2005-02-07,0.76730,0.76790,0.76120,0.76630,0.76750,0.76810,0.76140,0.76650,0.76640,20584
2005-02-08,0.76630,0.77120,0.76300,0.77060,0.76650,0.77140,0.76320,0.77080,0.77070,19141
2005-02-09,0.77060,0.78380,0.76980,0.78310,0.77080,0.78400,0.77000,0.78330,0.78320,23527
2005-02-10,0.78310,0.78630,0.78090,0.78550,0.78330,0.78690,0.78110,0.78650,0.78600,17296
2005-02-11,0.78550,0.78550,0.78550,0.78550,0.78650,0.78650,0.78650,0.78650,0.78600,1
2005-02-12,0.78450,0.78530,0.78450,0.78530,0.78550,0.78630,0.78550,0.78630,0.78580,92
2005-02-13,0.78530,0.78880,0.78450,0.78780,0.78630,0.78900,0.78470,0.78800,0.78790,15293
2005-02-14,0.78780,0.78820,0.78240,0.78740,0.78800,0.78840,0.78260,0.78760,0.78750,21184
2005-02-15,0.78740,0.78760,0.77870,0.78440,0.78760,0.78780,0.77890,0.78460,0.78450,22703
2005-02-16,0.78440,0.78930,0.78320,0.78780,0.78460,0.78950,0.78340,0.78800,0.78790,17954
2005-02-17,0.78790,0.78970,0.78290,0.78800,0.78810,0.78990,0.78310,0.78900,0.78850,18441
2005-02-18,0.78790,0.78790,0.78790,0.78790,0.78890,0.78890,0.78890,0.78890,0.78840,1
2005-02-19,0.78800,0.79030,0.78800,0.78840,0.78900,0.79130,0.78900,0.78940,0.78890,604
2005-02-20,0.78830,0.79010,0.78600,0.78970,0.78930,0.79030,0.78620,0.78990,0.78980,11889
2005-02-21,0.78970,0.79580,0.78660,0.79460,0.78990,0.79600,0.78680,0.79480,0.79470,26656
2005-02-22,0.79460,0.79490,0.78450,0.78610,0.79480,0.79510,0.78470,0.78630,0.78620,23990
2005-02-23,0.78620,0.78970,0.78430,0.78650,0.78640,0.78990,0.78450,0.78670,0.78660,22678
2005-02-24,0.78650,0.78830,0.78060,0.78590,0.78670,0.78850,0.78080,0.78690,0.78640,22330
2005-02-26,0.78570,0.78640,0.78550,0.78640,0.78670,0.78740,0.78650,0.78740,0.78690,78
2005-02-27,0.78630,0.79440,0.78530,0.79180,0.78730,0.79460,0.78630,0.79200,0.79190,19544
2005-02-28,0.79180,0.79320,0.78310,0.78710,0.79200,0.79340,0.78330,0.78740,0.78725,24779
2005-03-01,0.78710,0.78850,0.77710,0.78300,0.78740,0.78870,0.77730,0.78320,0.78310,28235
2005-03-02,0.78300,0.78510,0.78010,0.78290,0.78320,0.78530,0.78030,0.78310,0.78300,22223
2005-03-03,0.78290,0.79350,0.78130,0.79030,0.78310,0.79370,0.78150,0.79130,0.79080,20738
2005-03-05,0.79010,0.79080,0.78910,0.78920,0.79110,0.79180,0.79010,0.79020,0.78970,236
2005-03-06,0.78920,0.79320,0.78850,0.79220,0.79020,0.79340,0.78870,0.79240,0.79230,17206
2005-03-07,0.79220,0.79880,0.79130,0.79830,0.79240,0.79900,0.79150,0.79850,0.79840,22669
2005-03-08,0.79830,0.79860,0.79070,0.79320,0.79850,0.79880,0.79090,0.79340,0.79330,25027
2005-03-09,0.79320,0.79820,0.78720,0.79090,0.79340,0.79840,0.78740,0.79110,0.79100,27496
2005-03-10,0.79090,0.79560,0.78750,0.79260,0.79110,0.79580,0.78770,0.79360,0.79310,19234
2005-03-11,0.79250,0.79250,0.79250,0.79250,0.79350,0.79350,0.79350,0.79350,0.79300,1
