date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-01,1.35550,1.35650,1.35360,1.35475,1.35650,1.35750,1.35460,1.35575,1.35525,303
2005-01-02,1.35485,1.35785,1.33840,1.34640,1.35585,1.35845,1.33870,1.34660,1.34650,38042
2005-01-03,1.34640,1.34950,1.32480,1.32793,1.34660,1.34970,1.32495,1.32808,1.32801,42165
2005-01-04,1.32783,1.33020,1.32145,1.32601,1.32798,1.33035,1.32160,1.32616,1.32608,40233
2005-01-05,1.32601,1.32818,1.31555,1.31725,1.32616,1.32833,1.31570,1.31740,1.31732,38037
2005-01-06,1.31715,1.32500,1.30240,1.30490,1.31730,1.32515,1.30255,1.30590,1.30540,37339
2005-01-08,1.30470,1.30580,1.30440,1.30570,1.30570,1.30680,1.30540,1.30670,1.30620,185
2005-01-09,1.30550,1.31230,1.30470,1.30725,1.30650,1.31245,1.30570,1.30740,1.30733,34912
2005-01-10,1.30735,1.31710,1.30665,1.31060,1.30750,1.31725,1.30680,1.31075,1.31068,36616
2005-01-11,1.31070,1.32925,1.30825,1.32545,1.31085,1.32945,1.30840,1.32560,1.32552,36713
2005-01-12,1.32555,1.32660,1.31925,1.32253,1.32570,1.32675,1.31940,1.32268,1.32261,35692
2005-01-13,1.32233,1.32243,1.30568,1.31060,1.32248,1.32258,1.30583,1.31160,1.31110,47348
2005-01-15,1.31010,1.31030,1.30920,1.31000,1.31110,1.31130,1.31020,1.31100,1.31050,787
2005-01-16,1.31000,1.31273,1.30605,1.30665,1.31100,1.31288,1.30620,1.30680,1.30673,24472
2005-01-17,1.30665,1.30740,1.29947,1.30180,1.30680,1.30762,1.29962,1.30195,1.30187,38846
2005-01-18,1.30170,1.31178,1.29629,1.30100,1.30185,1.31193,1.29644,1.30115,1.30107,39297
2005-01-19,1.30100,1.30225,1.29190,1.29633,1.30115,1.30245,1.29205,1.29648,1.29641,39082
2005-01-20,1.29623,1.30680,1.29330,1.30340,1.29638,1.30695,1.29350,1.30440,1.30390,36972
2005-01-21,1.30320,1.30320,1.30320,1.30320,1.30420,1.30420,1.30420,1.30420,1.30370,2
2005-01-22,1.30370,1.30490,1.30320,1.30360,1.30470,1.30590,1.30420,1.30460,1.30410,443
2005-01-23,1.30370,1.30990,1.30275,1.30595,1.30470,1.31005,1.30290,1.30610,1.30602,35263
2005-01-24,1.30595,1.30748,1.29430,1.29740,1.30610,1.30763,1.29445,1.29755,1.29747,39719
2005-01-25,1.29750,1.31083,1.29653,1.30707,1.29765,1.31098,1.29668,1.30722,1.30715,35596
2005-01-26,1.30717,1.31230,1.30116,1.30450,1.30732,1.31245,1.30131,1.30465,1.30458,36238
2005-01-27,1.30430,1.30790,1.29840,1.30320,1.30445,1.30805,1.29855,1.30420,1.30370,33890
2005-01-29,1.30240,1.30320,1.30240,1.30270,1.30340,1.30420,1.30340,1.30370,1.30320,176
2005-01-30,1.30270,1.30573,1.29747,1.30378,1.30370,1.30588,1.29762,1.30393,1.30385,34938
2005-01-31,1.30378,1.30660,1.30006,1.30450,1.30393,1.30675,1.30021,1.30465,1.30458,35536
2005-02-01,1.30460,1.30930,1.30095,1.30263,1.30475,1.30945,1.30110,1.30278,1.30271,35680
2005-02-02,1.30273,1.30373,1.29406,1.29743,1.30288,1.30388,1.29421,1.29758,1.29751,30838
2005-02-03,1.29733,1.30410,1.28600,1.28640,1.29748,1.30460,1.28690,1.28740,1.28690,32592
2005-02-04,1.28630,1.28650,1.27450,1.27450,1.28730,1.28750,1.27550,1.27550,1.27500,90
2005-02-05,1.28655,1.28685,1.28520,1.28550,1.28755,1.28785,1.28620,1.28650,1.28600,499
2005-02-06,1.28560,1.28635,1.27325,1.27566,1.28660,1.28680,1.27340,1.27581,1.27574,34636
2005-02-07,1.27566,1.27968,1.27335,1.27613,1.27581,1.27983,1.27350,1.27628,1.27621,32491
