date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,1.91880,1.92000,1.91790,1.91890,1.91980,1.92070,1.91880,1.91960,1.91925,396
2005-01-03,1.91890,1.91940,1.89790,1.90410,1.91960,1.92010,1.89850,1.90460,1.90435,26497
2005-01-04,1.90400,1.90820,1.87790,1.88320,1.90450,1.90870,1.87830,1.88370,1.88345,35398
2005-01-05,1.88300,1.88960,1.87290,1.88520,1.88350,1.89000,1.87330,1.88560,1.88540,36465
2005-01-06,1.88500,1.88540,1.86970,1.87590,1.88540,1.88580,1.87010,1.87640,1.87615,33740
2005-01-07,1.87590,1.88630,1.86450,1.87060,1.87640,1.88670,1.86490,1.87160,1.87110,34473
2005-01-09,1.86950,1.87150,1.86870,1.87080,1.87050,1.87250,1.86970,1.87180,1.87130,572
2005-01-10,1.87120,1.87920,1.87080,1.87680,1.87220,1.87960,1.87140,1.87720,1.87700,31644
2005-01-11,1.87670,1.88210,1.87500,1.87820,1.87710,1.88250,1.87540,1.87860,1.87840,32795
2005-01-12,1.87810,1.89370,1.86960,1.89050,1.87850,1.89410,1.87000,1.89100,1.89075,32866
2005-01-13,1.89040,1.89290,1.87910,1.88040,1.89090,1.89330,1.87960,1.88090,1.88065,35341
2005-01-14,1.88040,1.88160,1.86400,1.87010,1.88090,1.88210,1.86440,1.87110,1.87060,34292
2005-01-16,1.86910,1.87070,1.86880,1.86960,1.87010,1.87170,1.86980,1.87060,1.87010,359
2005-01-17,1.86960,1.87480,1.85600,1.85700,1.87060,1.87520,1.85640,1.85740,1.85720,22009
2005-01-18,1.85710,1.87370,1.85240,1.86280,1.85750,1.87420,1.85280,1.86320,1.86300,34725
2005-01-19,1.86280,1.88250,1.86280,1.87040,1.86320,1.88290,1.86320,1.87080,1.87060,41284
2005-01-20,1.87010,1.87510,1.86340,1.87030,1.87050,1.87560,1.86380,1.87070,1.87050,36857
2005-01-21,1.87020,1.88060,1.86130,1.87650,1.87060,1.88100,1.86170,1.87750,1.87700,33560
2005-01-23,1.87780,1.87870,1.87650,1.87670,1.87880,1.87970,1.87750,1.87770,1.87720,253
2005-01-24,1.87690,1.88360,1.87400,1.87880,1.87790,1.88400,1.87450,1.87920,1.87900,31115
2005-01-25,1.87870,1.88100,1.86240,1.86360,1.87910,1.88140,1.86280,1.86400,1.86380,32972
2005-01-26,1.86370,1.88530,1.86360,1.88150,1.86410,1.88570,1.86400,1.88190,1.88170,33751
2005-01-27,1.88150,1.89260,1.87920,1.89020,1.88190,1.89310,1.87960,1.89070,1.89045,40906
2005-01-28,1.89020,1.89060,1.87830,1.88750,1.89070,1.89110,1.87870,1.88850,1.88800,34477
2005-01-30,1.88680,1.88740,1.88420,1.88530,1.88780,1.88840,1.88520,1.88630,1.88580,735
2005-01-31,1.88540,1.88820,1.87870,1.88400,1.88640,1.88860,1.87910,1.88440,1.88420,31805
2005-02-01,1.88390,1.88650,1.87750,1.88310,1.88430,1.88690,1.87790,1.88350,1.88330,30455
2005-02-02,1.88310,1.88860,1.88220,1.88430,1.88350,1.88900,1.88260,1.88470,1.88450,30862
2005-02-03,1.88430,1.89130,1.87670,1.88160,1.88470,1.89170,1.87710,1.88210,1.88185,34769
2005-02-04,1.88160,1.89180,1.87300,1.87540,1.88210,1.89220,1.87340,1.87640,1.87590,30875
2005-02-05,1.87250,1.87250,1.87250,1.87250,1.87350,1.87350,1.87350,1.87350,1.87300,1
2005-02-06,1.87550,1.87550,1.87110,1.87280,1.87650,1.87650,1.87210,1.87380,1.87330,459
2005-02-07,1.87280,1.87520,1.85480,1.85770,1.87380,1.87560,1.85520,1.85810,1.85790,32713
2005-02-08,1.85750,1.85970,1.85100,1.85350,1.85790,1.86010,1.85140,1.85390,1.85370,31438
2005-02-09,1.85360,1.86430,1.85230,1.85910,1.85400,1.86470,1.85270,1.85950,1.85930,32299
2005-02-10,1.85930,1.87300,1.85080,1.86770,1.85970,1.87340,1.85120,1.86810,1.86790,30238
2005-02-11,1.86770,1.87070,1.86240,1.86810,1.86810,1.87110,1.86280,1.86910,1.86860,25500
2005-02-13,1.86780,1.86990,1.86730,1.86890,1.86880,1.87090,1.86830,1.86990,1.86940,363
2005-02-14,1.86890,1.89160,1.86730,1.88680,1.86990,1.89200,1.86830,1.88720,1.88700,30927
2005-02-15,1.88680,1.89740,1.88310,1.89490,1.88720,1.89780,1.88350,1.89530,1.89510,33583
2005-02-16,1.89490,1.89520,1.87530,1.88380,1.89530,1.89560,1.87570,1.88430,1.88405,34392
2005-02-17,1.88390,1.89560,1.88330,1.89450,1.88440,1.89600,1.88380,1.89500,1.89475,33101
2005-02-18,1.89440,1.89710,1.88890,1.89380,1.89490,1.89740,1.88930,1.89480,1.89430,26432
2005-02-20,1.89420,1.89500,1.89230,1.89310,1.89520,1.89600,1.89330,1.89410,1.89360,420
2005-02-21,1.89320,1.89960,1.89060,1.89650,1.89420,1.90000,1.89100,1.89690,1.89670,19438
2005-02-22,1.89650,1.91350,1.89530,1.91060,1.89690,1.91390,1.89570,1.91100,1.91080,34860
2005-02-23,1.91060,1.91300,1.90410,1.90630,1.91100,1.91340,1.90450,1.90670,1.90650,33611
2005-02-24,1.90620,1.91380,1.90120,1.90720,1.90660,1.91420,1.90160,1.90760,1.90740,36199
2005-02-25,1.90720,1.91930,1.90620,1.91900,1.90760,1.92020,1.90660,1.92000,1.91950,32105
2005-02-27,1.91830,1.91920,1.91580,1.91890,1.91930,1.92020,1.91680,1.91990,1.91940,528
2005-02-28,1.91900,1.92580,1.91830,1.91890,1.92000,1.92620,1.91870,1.91930,1.91910,30316
2005-03-01,1.91930,1.92260,1.91720,1.91820,1.91970,1.92300,1.91760,1.91860,1.91840,30842
2005-03-02,1.91830,1.91980,1.90780,1.91260,1.91870,1.92020,1.90820,1.91300,1.91280,32570
2005-03-03,1.91270,1.91350,1.90560,1.90670,1.91310,1.91390,1.90600,1.90710,1.90690,29841
2005-03-04,1.90680,1.92710,1.90460,1.92230,1.90720,1.92750,1.90530,1.92330,1.92280,27737
2005-03-06,1.92220,1.92430,1.92200,1.92320,1.92320,1.92530,1.92300,1.92420,1.92370,430
2005-03-07,1.92310,1.92460,1.91140,1.91470,1.92410,1.92560,1.91180,1.91510,1.91490,28680
2005-03-08,1.91490,1.93240,1.91290,1.92820,1.91530,1.93280,1.91330,1.92860,1.92840,31929
2005-03-09,1.92820,1.93180,1.91990,1.92230,1.92860,1.93220,1.92030,1.92270,1.92250,32144
2005-03-10,1.92260,1.93040,1.92050,1.92350,1.92300,1.93080,1.92090,1.92390,1.92370,34341
2005-03-11,1.92380,1.92900,1.91630,1.92540,1.92420,1.92950,1.91670,1.92640,1.92590,29292
2005-03-13,1.92520,1.92730,1.92380,1.92700,1.92620,1.92830,1.92480,1.92800,1.92750,426
2005-03-14,1.92690,1.92730,1.90990,1.91320,1.92790,1.92830,1.91030,1.91360,1.91340,29610
2005-03-15,1.91340,1.92530,1.91100,1.91270,1.91380,1.92600,1.91140,1.91320,1.91295,31684
2005-03-16,1.91270,1.92930,1.91100,1.92680,1.91320,1.92970,1.91150,1.92720,1.92700,30635
2005-03-17,1.92690,1.92700,1.91830,1.92490,1.92730,1.92740,1.91870,1.92530,1.92510,31149
2005-03-18,1.92480,1.92480,1.91220,1.92140,1.92520,1.92520,1.91260,1.92240,1.92190,28185
2005-03-20,1.92170,1.92170,1.91830,1.91930,1.92270,1.92270,1.91930,1.92030,1.91980,448
2005-03-21,1.91940,1.91970,1.89450,1.89550,1.92040,1.92070,1.89490,1.89590,1.89570,32454
2005-03-22,1.89580,1.90190,1.87980,1.88530,1.89620,1.90260,1.88020,1.88570,1.88550,32868
2005-03-23,1.88530,1.88840,1.86610,1.87040,1.88570,1.88880,1.86650,1.87080,1.87060,35438
2005-03-24,1.87040,1.87400,1.86690,1.86810,1.87080,1.87440,1.86730,1.86850,1.86830,29377
2005-03-25,1.86800,1.87210,1.86750,1.86990,1.86840,1.87250,1.86790,1.87090,1.87040,7520
2005-03-27,1.87010,1.87010,1.86870,1.86900,1.87110,1.87110,1.86970,1.87000,1.86950,136
