date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,1.20460,1.20770,1.20020,1.20050,1.20560,1.20870,1.20100,1.20130,1.20090,176
2005-01-03,1.20040,1.21250,1.20000,1.20800,1.20120,1.21290,1.20080,1.20840,1.20820,11196
2005-01-04,1.20800,1.22700,1.20570,1.22150,1.20840,1.22740,1.20610,1.22190,1.22170,21325
2005-01-05,1.22140,1.23260,1.22100,1.22450,1.22180,1.23300,1.22140,1.22490,1.22470,19800
2005-01-06,1.22450,1.23940,1.22360,1.23540,1.22490,1.23980,1.22410,1.23580,1.23560,20494
2005-01-07,1.23540,1.23800,1.22280,1.23110,1.23580,1.23840,1.22320,1.23210,1.23160,19364
2005-01-09,1.23230,1.23350,1.23120,1.23140,1.23330,1.23450,1.23220,1.23240,1.23190,248
2005-01-10,1.23160,1.23210,1.21820,1.22110,1.23260,1.23260,1.21860,1.22150,1.22130,17355
2005-01-11,1.22110,1.22360,1.21400,1.21880,1.22150,1.22400,1.21440,1.21920,1.21900,19487
2005-01-12,1.21890,1.22130,1.19450,1.20150,1.21930,1.22170,1.19490,1.20190,1.20170,20181
2005-01-13,1.20150,1.20570,1.19930,1.20250,1.20190,1.20610,1.19970,1.20290,1.20270,19436
2005-01-14,1.20250,1.22130,1.20250,1.21700,1.20290,1.22170,1.20290,1.21800,1.21750,22644
2005-01-16,1.21630,1.21740,1.21630,1.21710,1.21730,1.21840,1.21730,1.21810,1.21760,139
2005-01-17,1.21710,1.21950,1.21200,1.21850,1.21810,1.22000,1.21240,1.21900,1.21875,10081
2005-01-18,1.21870,1.22610,1.21780,1.22420,1.21920,1.22650,1.21820,1.22460,1.22440,19170
2005-01-19,1.22410,1.23090,1.21660,1.22870,1.22450,1.23130,1.21700,1.22920,1.22895,19740
2005-01-20,1.22870,1.23650,1.22710,1.23360,1.22920,1.23690,1.22760,1.23400,1.23380,21238
2005-01-21,1.23360,1.23520,1.21820,1.22180,1.23400,1.23560,1.21860,1.22280,1.22230,16997
2005-01-23,1.22070,1.22160,1.22070,1.22130,1.22170,1.22260,1.22170,1.22230,1.22180,123
2005-01-24,1.22120,1.22670,1.21420,1.22390,1.22220,1.22710,1.21460,1.22430,1.22410,16579
2005-01-25,1.22390,1.24070,1.22150,1.23510,1.22430,1.24110,1.22190,1.23550,1.23530,20658
2005-01-26,1.23510,1.23850,1.22760,1.23300,1.23550,1.23890,1.22800,1.23340,1.23320,22288
2005-01-27,1.23300,1.24270,1.23110,1.23770,1.23340,1.24310,1.23150,1.23810,1.23790,22651
2005-01-28,1.23770,1.24680,1.23710,1.23840,1.23810,1.24720,1.23780,1.23940,1.23890,17539
2005-01-30,1.23850,1.24060,1.23830,1.24010,1.23950,1.24160,1.23930,1.24110,1.24060,280
2005-01-31,1.24000,1.24450,1.23610,1.24040,1.24100,1.24490,1.23650,1.24080,1.24060,20107
2005-02-01,1.24030,1.24360,1.23130,1.23170,1.24070,1.24400,1.23170,1.23210,1.23190,19160
2005-02-02,1.23170,1.24140,1.23070,1.23760,1.23210,1.24180,1.23110,1.23800,1.23780,18893
2005-02-03,1.23770,1.24590,1.23740,1.24050,1.23810,1.24630,1.23780,1.24090,1.24070,17834
2005-02-04,1.24050,1.25010,1.23670,1.24910,1.24090,1.25050,1.23740,1.25010,1.24960,19425
2005-02-05,1.24860,1.24860,1.24860,1.24860,1.24960,1.24960,1.24960,1.24960,1.24910,1
2005-02-06,1.24870,1.24930,1.24850,1.24920,1.24970,1.25030,1.24950,1.25020,1.24970,227
2005-02-07,1.24920,1.25800,1.24880,1.25510,1.25020,1.25840,1.24920,1.25550,1.25530,17737
2005-02-08,1.25510,1.25720,1.24530,1.24910,1.25550,1.25760,1.24570,1.24950,1.24930,18347
2005-02-09,1.24920,1.25220,1.24590,1.24780,1.24960,1.25260,1.24630,1.24820,1.24800,16679
2005-02-10,1.24780,1.25580,1.23860,1.24200,1.24820,1.25620,1.23900,1.24240,1.24220,18568
2005-02-11,1.24210,1.24340,1.23580,1.23580,1.24250,1.24380,1.23620,1.23680,1.23630,14951
2005-02-13,1.23680,1.23710,1.23380,1.23650,1.23780,1.23810,1.23480,1.23750,1.23700,326
2005-02-14,1.23650,1.23840,1.22890,1.23430,1.23750,1.23930,1.22930,1.23470,1.23450,18442
2005-02-15,1.23430,1.23700,1.22860,1.23120,1.23470,1.23740,1.22900,1.23160,1.23140,19828
2005-02-16,1.23110,1.24500,1.22890,1.23690,1.23150,1.24540,1.22930,1.23730,1.23710,22301
2005-02-17,1.23690,1.23810,1.22640,1.22850,1.23730,1.23850,1.22680,1.22890,1.22870,19278
2005-02-18,1.22870,1.23340,1.22840,1.23090,1.22910,1.23380,1.22880,1.23190,1.23140,16453
2005-02-20,1.23110,1.23170,1.23080,1.23100,1.23210,1.23270,1.23180,1.23200,1.23150,208
2005-02-21,1.23090,1.23600,1.22770,1.23430,1.23190,1.23640,1.22810,1.23470,1.23450,11502
2005-02-22,1.23430,1.23510,1.22300,1.22630,1.23470,1.23550,1.22340,1.22670,1.22650,24058
2005-02-23,1.22630,1.24960,1.22630,1.24820,1.22670,1.25010,1.22670,1.24870,1.24845,25521
2005-02-24,1.24820,1.24890,1.23770,1.24070,1.24870,1.24930,1.23810,1.24110,1.24090,27641
2005-02-25,1.24070,1.24480,1.23760,1.23800,1.24110,1.24550,1.23840,1.23900,1.23850,20146
2005-02-27,1.23780,1.23910,1.23760,1.23810,1.23880,1.24010,1.23860,1.23910,1.23860,201
2005-02-28,1.23810,1.23830,1.22740,1.23470,1.23910,1.23930,1.22780,1.23510,1.23490,21170
2005-03-01,1.23470,1.24460,1.23260,1.24100,1.23510,1.24500,1.23300,1.24140,1.24120,22420
2005-03-02,1.24100,1.24590,1.23760,1.23840,1.24140,1.24630,1.23800,1.23880,1.23860,20476
2005-03-03,1.23840,1.24920,1.23790,1.24400,1.23880,1.24960,1.23830,1.24440,1.24420,20938
2005-03-04,1.24380,1.24520,1.22900,1.23110,1.24420,1.24560,1.22940,1.23210,1.23160,19150
2005-03-06,1.23160,1.23160,1.23060,1.23080,1.23260,1.23260,1.23160,1.23180,1.23130,180
2005-03-07,1.23090,1.23490,1.22680,1.22890,1.23190,1.23530,1.22720,1.22930,1.22910,16979
