date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-01,1.13980,1.14170,1.13960,1.14000,1.14080,1.14270,1.14060,1.14100,1.14050,286
2005-01-02,1.13990,1.15540,1.13670,1.14790,1.14090,1.15610,1.13720,1.14840,1.14815,32452
2005-01-03,1.14780,1.17110,1.14430,1.16730,1.14830,1.17140,1.14470,1.16760,1.16745,41252
2005-01-04,1.16720,1.17580,1.16460,1.16830,1.16750,1.17610,1.16490,1.16860,1.16845,44114
2005-01-05,1.16830,1.17770,1.16670,1.17480,1.16860,1.17800,1.16700,1.17510,1.17495,40788
2005-01-06,1.17480,1.18870,1.16710,1.18410,1.17510,1.18900,1.16740,1.18510,1.18460,36809
2005-01-08,1.18480,1.18500,1.18360,1.18370,1.18580,1.18600,1.18460,1.18470,1.18420,149
2005-01-09,1.18390,1.18500,1.17850,1.18250,1.18490,1.18600,1.17880,1.18280,1.18265,34696
2005-01-10,1.18240,1.18340,1.17320,1.18340,1.18270,1.18370,1.17350,1.18370,1.18355,39993
2005-01-11,1.18320,1.18410,1.16270,1.16830,1.18350,1.18440,1.16300,1.16860,1.16845,38031
2005-01-12,1.16830,1.17400,1.16650,1.17120,1.16860,1.17430,1.16680,1.17160,1.17140,37709
2005-01-13,1.17130,1.18690,1.17110,1.17930,1.17170,1.18720,1.17150,1.18030,1.17980,44089
2005-01-15,1.18060,1.18090,1.17980,1.18010,1.18160,1.18190,1.18080,1.18110,1.18060,273
2005-01-16,1.18010,1.18380,1.17730,1.18320,1.18110,1.18410,1.17760,1.18350,1.18335,23005
2005-01-17,1.18330,1.19040,1.18030,1.18560,1.18360,1.19070,1.18060,1.18590,1.18575,39949
2005-01-18,1.18570,1.18990,1.17480,1.18570,1.18600,1.19020,1.17510,1.18600,1.18585,39896
2005-01-19,1.18570,1.19260,1.18330,1.18990,1.18600,1.19290,1.18360,1.19020,1.19005,40478
2005-01-20,1.18990,1.19680,1.18360,1.18520,1.19020,1.19710,1.18390,1.18620,1.18570,38777
2005-01-21,1.18530,1.18530,1.18530,1.18530,1.18630,1.18630,1.18630,1.18630,1.18580,1
2005-01-22,1.18430,1.18570,1.18430,1.18540,1.18530,1.18670,1.18530,1.18640,1.18590,198
2005-01-23,1.18530,1.18700,1.17890,1.18310,1.18630,1.18730,1.17920,1.18340,1.18325,34412
2005-01-24,1.18290,1.19710,1.18040,1.19280,1.18320,1.19740,1.18070,1.19310,1.19295,40184
2005-01-25,1.19270,1.19410,1.18010,1.18380,1.19300,1.19440,1.18040,1.18410,1.18395,38856
2005-01-26,1.18350,1.18820,1.17790,1.18380,1.18380,1.18850,1.17820,1.18410,1.18395,38458
2005-01-27,1.18370,1.19210,1.18150,1.18610,1.18400,1.19280,1.18180,1.18710,1.18660,35233
2005-01-28,1.18630,1.18630,1.18630,1.18630,1.18730,1.18730,1.18730,1.18730,1.18680,1
2005-01-29,1.18730,1.18730,1.18600,1.18720,1.18830,1.18830,1.18700,1.18820,1.18770,143
2005-01-30,1.18720,1.19410,1.18540,1.18870,1.18820,1.19440,1.18570,1.18900,1.18885,37660
2005-01-31,1.18870,1.19540,1.18710,1.19070,1.18900,1.19570,1.18740,1.19100,1.19085,36567
2005-02-01,1.19070,1.19610,1.18560,1.19300,1.19100,1.19640,1.18590,1.19330,1.19315,36731
2005-02-02,1.19290,1.20490,1.19200,1.20190,1.19320,1.20520,1.19230,1.20220,1.20205,37902
2005-02-03,1.20180,1.21170,1.19480,1.21080,1.20210,1.21270,1.19550,1.21180,1.21130,38198
2005-02-04,1.21070,1.21090,1.21070,1.21080,1.21170,1.21190,1.21170,1.21180,1.21130,103
2005-02-05,1.21080,1.21220,1.21030,1.21160,1.21180,1.21320,1.21130,1.21260,1.21210,430
2005-02-06,1.21160,1.22610,1.21130,1.22430,1.21260,1.22640,1.21170,1.22460,1.22445,38117
2005-02-07,1.22420,1.22530,1.21840,1.22170,1.22450,1.22560,1.21870,1.22200,1.22185,35295
2005-02-08,1.22170,1.22360,1.21510,1.21670,1.22200,1.22390,1.21540,1.21700,1.21685,34317
2005-02-09,1.21660,1.22410,1.20400,1.20830,1.21690,1.22450,1.20430,1.20860,1.20845,37173
2005-02-10,1.20820,1.21180,1.20610,1.21030,1.20850,1.21210,1.20640,1.21130,1.21080,29734
2005-02-11,1.21030,1.21030,1.21030,1.21030,1.21130,1.21130,1.21130,1.21130,1.21080,1
2005-02-12,1.20930,1.20990,1.20850,1.20900,1.21030,1.21090,1.20950,1.21000,1.20950,136
2005-02-13,1.20870,1.20900,1.19610,1.19780,1.20970,1.21000,1.19640,1.19810,1.19795,34110
2005-02-14,1.19790,1.20000,1.18760,1.18960,1.19820,1.20030,1.18830,1.18990,1.18975,36134
2005-02-15,1.18960,1.19460,1.18320,1.18740,1.18990,1.19490,1.18350,1.18770,1.18755,42118
2005-02-16,1.18700,1.18950,1.18100,1.18380,1.18730,1.18980,1.18130,1.18410,1.18395,37576
2005-02-17,1.18380,1.18930,1.18200,1.18250,1.18410,1.18970,1.18240,1.18350,1.18300,30397
2005-02-18,1.18260,1.18260,1.18260,1.18260,1.18360,1.18360,1.18360,1.18360,1.18310,1
2005-02-19,1.18270,1.18500,1.18240,1.18480,1.18370,1.18600,1.18340,1.18580,1.18530,318
2005-02-20,1.18480,1.18610,1.18060,1.18180,1.18580,1.18640,1.18090,1.18210,1.18195,21122
2005-02-21,1.18180,1.18380,1.15760,1.15820,1.18210,1.18410,1.15790,1.15850,1.15835,44709
2005-02-22,1.15810,1.16690,1.15710,1.16340,1.15840,1.16720,1.15740,1.16370,1.16355,42278
2005-02-23,1.16340,1.17170,1.15940,1.16900,1.16370,1.17200,1.15970,1.16930,1.16915,42685
2005-02-24,1.16900,1.17420,1.16090,1.16140,1.16930,1.17450,1.16190,1.16240,1.16190,37930
2005-02-26,1.16160,1.16220,1.16130,1.16150,1.16260,1.16320,1.16230,1.16250,1.16200,107
2005-02-27,1.16160,1.16330,1.15770,1.16270,1.16260,1.16430,1.15800,1.16300,1.16285,35959
2005-02-28,1.16280,1.16850,1.16070,1.16490,1.16310,1.16880,1.16100,1.16520,1.16505,39779
2005-03-01,1.16470,1.17760,1.16470,1.17320,1.16500,1.17790,1.16500,1.17350,1.17335,40543
2005-03-02,1.17320,1.18240,1.17300,1.18070,1.17350,1.18270,1.17330,1.18100,1.18085,36730
2005-03-03,1.18070,1.18360,1.16650,1.16930,1.18100,1.18430,1.16690,1.17030,1.16980,34257
2005-03-04,1.16920,1.16920,1.16920,1.16920,1.17020,1.17020,1.17020,1.17020,1.16970,1
2005-03-05,1.16930,1.16930,1.16810,1.16860,1.17030,1.17030,1.16910,1.16960,1.16910,109
2005-03-06,1.16850,1.17780,1.16790,1.17480,1.16950,1.17810,1.16890,1.17510,1.17495,33109
2005-03-07,1.17480,1.17570,1.15830,1.16150,1.17510,1.17600,1.15860,1.16180,1.16165,34888
2005-03-08,1.16160,1.16470,1.15540,1.15870,1.16190,1.16500,1.15570,1.15900,1.15885,35828
2005-03-09,1.15870,1.16070,1.15150,1.15390,1.15900,1.16100,1.15180,1.15420,1.15405,42619
2005-03-10,1.15390,1.15690,1.14870,1.14970,1.15420,1.15720,1.14900,1.15070,1.15020,30402
2005-03-11,1.14980,1.14980,1.14980,1.14980,1.15080,1.15080,1.15080,1.15080,1.15030,1
2005-03-12,1.14980,1.15100,1.14960,1.14970,1.15080,1.15200,1.15060,1.15070,1.15020,163
2005-03-13,1.14960,1.16380,1.14790,1.15930,1.15060,1.16410,1.14890,1.15960,1.15945,36007
2005-03-14,1.15940,1.16710,1.15570,1.16530,1.15970,1.16740,1.15640,1.16570,1.16550,36025
2005-03-15,1.16520,1.16640,1.15030,1.15240,1.16560,1.16680,1.15060,1.15270,1.15255,37141
2005-03-16,1.15240,1.15960,1.15190,1.15660,1.15270,1.15990,1.15220,1.15690,1.15675,36064
2005-03-17,1.15660,1.16860,1.15650,1.16330,1.15690,1.16890,1.15680,1.16430,1.16380,34244
2005-03-19,1.16320,1.16420,1.16270,1.16410,1.16420,1.16520,1.16370,1.16510,1.16460,186
2005-03-20,1.16410,1.18070,1.16380,1.17850,1.16510,1.18100,1.16480,1.17880,1.17865,37632
2005-03-21,1.17840,1.19190,1.17410,1.18770,1.17870,1.19220,1.17460,1.18800,1.18785,38339
2005-03-22,1.18760,1.19880,1.18760,1.19600,1.18790,1.19910,1.18790,1.19630,1.19615,42834
2005-03-23,1.19580,1.20170,1.19150,1.20150,1.19610,1.20200,1.19180,1.20180,1.20165,35508
2005-03-24,1.20140,1.20290,1.19810,1.19940,1.20170,1.20320,1.19850,1.20040,1.19990,7035
2005-03-26,1.19890,1.19920,1.19890,1.19890,1.19990,1.20020,1.19990,1.19990,1.19940,5
2005-03-27,1.19900,1.20830,1.19900,1.20360,1.20000,1.20870,1.20000,1.20400,1.20380,27858
2005-03-28,1.20360,1.20540,1.19750,1.20180,1.20400,1.20570,1.19780,1.20210,1.20195,37800
2005-03-29,1.20190,1.20190,1.19240,1.20000,1.20220,1.20220,1.19270,1.20030,1.20015,39973
2005-03-30,1.20000,1.20030,1.18920,1.19630,1.20030,1.20060,1.18950,1.19660,1.19645,37776
2005-03-31,1.19630,1.20780,1.18780,1.20210,1.19660,1.20820,1.18850,1.20310,1.20260,37437
2005-04-02,1.20250,1.20400,1.20250,1.20390,1.20350,1.20500,1.20350,1.20490,1.20440,70
2005-04-03,1.20390,1.21260,1.20270,1.20960,1.20490,1.21290,1.20300,1.20990,1.20975,32857
2005-04-04,1.20960,1.21450,1.20390,1.20490,1.20990,1.21480,1.20420,1.20520,1.20505,35403
2005-04-05,1.20500,1.20830,1.20080,1.20550,1.20530,1.20860,1.20110,1.20580,1.20565,36930
2005-04-06,1.20540,1.20800,1.19740,1.20680,1.20570,1.20830,1.19770,1.20710,1.20695,39277
2005-04-07,1.20680,1.21150,1.19670,1.19690,1.20710,1.21180,1.19720,1.19790,1.19740,37755
2005-04-08,1.19690,1.19690,1.19690,1.19690,1.19790,1.19790,1.19790,1.19790,1.19740,1
2005-04-09,1.19790,1.19820,1.19630,1.19670,1.19890,1.19920,1.19730,1.19770,1.19720,179
2005-04-10,1.19700,1.19930,1.18970,1.19350,1.19800,1.19980,1.19000,1.19380,1.19365,34301
2005-04-11,1.19340,1.20450,1.18980,1.19870,1.19370,1.20480,1.19010,1.19900,1.19885,36940
2005-04-12,1.19880,1.20730,1.19460,1.19990,1.19910,1.20760,1.19490,1.20020,1.20005,37578
2005-04-13,1.19970,1.21960,1.19910,1.21380,1.20000,1.21990,1.19940,1.21410,1.21395,38384
2005-04-14,1.21390,1.21680,1.19880,1.20000,1.21420,1.21720,1.19910,1.20100,1.20050,38446
2005-04-15,1.19970,1.19970,1.19970,1.19970,1.20070,1.20070,1.20070,1.20070,1.20020,1
2005-04-16,1.20070,1.20130,1.19990,1.20040,1.20170,1.20230,1.20090,1.20140,1.20090,187
2005-04-17,1.20040,1.20410,1.18500,1.18760,1.20140,1.20440,1.18530,1.18790,1.18775,41033
2005-04-18,1.18760,1.19060,1.17940,1.18040,1.18790,1.19110,1.17970,1.18080,1.18060,39401
2005-04-19,1.18070,1.18900,1.17620,1.17810,1.18110,1.18930,1.17650,1.17840,1.17825,36271
2005-04-20,1.17810,1.18550,1.17430,1.18310,1.17840,1.18580,1.17460,1.18340,1.18325,42053
2005-04-21,1.18260,1.18530,1.17800,1.18060,1.18290,1.18560,1.17830,1.18160,1.18110,33267
2005-04-22,1.18070,1.18070,1.18070,1.18070,1.18170,1.18170,1.18170,1.18170,1.18120,2
2005-04-23,1.18040,1.18100,1.17990,1.18080,1.18140,1.18200,1.18090,1.18180,1.18130,329
2005-04-24,1.18060,1.19190,1.18020,1.18670,1.18160,1.19220,1.18120,1.18700,1.18685,37770
2005-04-25,1.18660,1.19110,1.18540,1.18670,1.18690,1.19150,1.18580,1.18710,1.18690,35078
2005-04-26,1.18670,1.19620,1.18550,1.19240,1.18710,1.19660,1.18580,1.19280,1.19260,38591
2005-04-27,1.19250,1.19550,1.18850,1.19280,1.19290,1.19580,1.18890,1.19310,1.19295,38267
2005-04-28,1.19280,1.19780,1.18390,1.19470,1.19310,1.19810,1.18420,1.19570,1.19520,37981
2005-04-30,1.19540,1.19670,1.19540,1.19580,1.19640,1.19770,1.19640,1.19680,1.19630,132
2005-05-01,1.19580,1.20090,1.19530,1.19740,1.19680,1.20130,1.19620,1.19780,1.19760,26752
2005-05-02,1.19740,1.20160,1.19440,1.19850,1.19780,1.20190,1.19480,1.19890,1.19870,34286
2005-05-03,1.19840,1.19890,1.18790,1.19190,1.19880,1.19930,1.18830,1.19230,1.19210,37766
2005-05-04,1.19190,1.19760,1.18890,1.19330,1.19230,1.19790,1.18930,1.19360,1.19345,35593
2005-05-05,1.19320,1.20850,1.19290,1.20640,1.19350,1.20880,1.19320,1.20740,1.20690,32525
2005-05-06,1.20640,1.20640,1.20640,1.20640,1.20740,1.20740,1.20740,1.20740,1.20690,2
2005-05-07,1.20690,1.20690,1.20630,1.20640,1.20790,1.20790,1.20730,1.20740,1.20690,176
2005-05-08,1.20630,1.20950,1.20480,1.20540,1.20730,1.20980,1.20510,1.20570,1.20555,28104
2005-05-09,1.20540,1.20680,1.19900,1.20080,1.20570,1.20710,1.19930,1.20110,1.20095,30156
2005-05-10,1.20080,1.20990,1.19610,1.20510,1.20110,1.21020,1.19640,1.20540,1.20525,29676
2005-05-11,1.20520,1.21730,1.20490,1.21540,1.20550,1.21760,1.20520,1.21570,1.21555,32927
2005-05-12,1.21510,1.22500,1.21510,1.22290,1.21540,1.22540,1.21540,1.22390,1.22340,34544
2005-05-13,1.22290,1.22290,1.22290,1.22290,1.22390,1.22390,1.22390,1.22390,1.22340,1
2005-05-14,1.22380,1.22680,1.22310,1.22400,1.22480,1.22780,1.22410,1.22500,1.22450,529
2005-05-15,1.22350,1.22890,1.22100,1.22130,1.22450,1.22940,1.22130,1.22160,1.22145,30145
2005-05-16,1.22120,1.22690,1.21920,1.22520,1.22150,1.22720,1.21950,1.22550,1.22535,31381
2005-05-17,1.22520,1.22700,1.21620,1.21760,1.22550,1.22730,1.21650,1.21790,1.21775,30998
2005-05-18,1.21760,1.22580,1.21500,1.22140,1.21790,1.22610,1.21530,1.22170,1.22155,25655
2005-05-19,1.22140,1.23590,1.22070,1.23340,1.22170,1.23620,1.22100,1.23440,1.23390,25396
2005-05-20,1.23360,1.23360,1.23360,1.23360,1.23460,1.23460,1.23460,1.23460,1.23410,1
2005-05-21,1.23200,1.23510,1.23130,1.23400,1.23300,1.23610,1.23230,1.23500,1.23450,505
2005-05-22,1.23410,1.23490,1.22810,1.23080,1.23510,1.23550,1.22840,1.23110,1.23095,26814
2005-05-23,1.23080,1.23240,1.22430,1.22860,1.23110,1.23270,1.22460,1.22900,1.22880,32138
2005-05-24,1.22850,1.23150,1.22450,1.22660,1.22890,1.23180,1.22490,1.22690,1.22675,29764
2005-05-25,1.22620,1.23800,1.22600,1.23590,1.22650,1.23830,1.22630,1.23620,1.23605,32305
2005-05-26,1.23590,1.23650,1.22970,1.23000,1.23620,1.23680,1.23010,1.23100,1.23050,27680
2005-05-27,1.23000,1.23000,1.23000,1.23000,1.23100,1.23100,1.23100,1.23100,1.23050,4
2005-05-28,1.23050,1.23490,1.23010,1.23220,1.23150,1.23590,1.23110,1.23320,1.23270,1374
2005-05-29,1.23200,1.23940,1.23120,1.23840,1.23300,1.23970,1.23220,1.23870,1.23855,18646
2005-05-30,1.23850,1.24940,1.23690,1.24810,1.23880,1.24970,1.23720,1.24840,1.24825,38563
2005-05-31,1.24810,1.25960,1.24500,1.25740,1.24840,1.25990,1.24530,1.25790,1.25765,33398
2005-06-01,1.25710,1.25780,1.24740,1.25210,1.25760,1.25810,1.24770,1.25240,1.25225,38701
2005-06-02,1.25210,1.25620,1.24470,1.25200,1.25240,1.25650,1.24540,1.25300,1.25250,27062
2005-06-03,1.25200,1.25200,1.25200,1.25200,1.25300,1.25300,1.25300,1.25300,1.25250,1
2005-06-04,1.25530,1.25560,1.25310,1.25330,1.25630,1.25660,1.25410,1.25430,1.25380,570
2005-06-05,1.25330,1.25400,1.24630,1.24910,1.25430,1.25500,1.24660,1.24940,1.24925,31680
2005-06-06,1.24910,1.25130,1.24280,1.24540,1.24940,1.25160,1.24310,1.24570,1.24555,32533
2005-06-07,1.24540,1.25750,1.24110,1.25470,1.24570,1.25780,1.24140,1.25500,1.25485,36973
2005-06-08,1.25470,1.25930,1.25110,1.25450,1.25500,1.25960,1.25140,1.25480,1.25465,35378
2005-06-09,1.25450,1.26980,1.25200,1.26860,1.25480,1.27010,1.25230,1.26960,1.26910,34554
2005-06-10,1.26860,1.26860,1.26860,1.26860,1.26960,1.26960,1.26960,1.26960,1.26910,2
2005-06-11,1.26800,1.26910,1.26670,1.26880,1.26900,1.27010,1.26770,1.26980,1.26930,594
2005-06-12,1.26880,1.27860,1.26790,1.27060,1.26980,1.27890,1.26870,1.27090,1.27075,36299
2005-06-13,1.27030,1.27910,1.26700,1.27730,1.27060,1.27940,1.26730,1.27760,1.27745,37809
2005-06-14,1.27710,1.27920,1.26880,1.27100,1.27740,1.27950,1.26910,1.27130,1.27115,37423
2005-06-15,1.27090,1.27710,1.26540,1.27190,1.27120,1.27740,1.26570,1.27220,1.27205,37988
2005-06-16,1.27190,1.27340,1.25630,1.25730,1.27220,1.27370,1.25730,1.25830,1.25780,38262
2005-06-17,1.25740,1.25740,1.25740,1.25740,1.25840,1.25840,1.25840,1.25840,1.25790,3
2005-06-18,1.25770,1.26650,1.25740,1.26350,1.25870,1.26750,1.25840,1.26420,1.26385,1072
2005-06-19,1.26350,1.27360,1.26120,1.27050,1.26420,1.27390,1.26150,1.27080,1.27065,35349
2005-06-20,1.27060,1.27820,1.26520,1.26560,1.27090,1.27850,1.26550,1.26590,1.26575,40030
2005-06-21,1.26550,1.27460,1.26220,1.27180,1.26580,1.27490,1.26250,1.27210,1.27195,40446
2005-06-22,1.27170,1.28110,1.26910,1.27910,1.27200,1.28140,1.26940,1.27940,1.27925,39766
2005-06-23,1.27910,1.28450,1.27290,1.27380,1.27940,1.28480,1.27320,1.27480,1.27430,36812
2005-06-24,1.27390,1.27390,1.27390,1.27390,1.27490,1.27490,1.27490,1.27490,1.27440,1
2005-06-25,1.27480,1.27490,1.27330,1.27380,1.27580,1.27590,1.27430,1.27480,1.27430,479
2005-06-26,1.27380,1.27400,1.26590,1.26820,1.27480,1.27500,1.26620,1.26850,1.26835,34581
2005-06-27,1.26820,1.28160,1.26700,1.28150,1.26850,1.28190,1.26730,1.28180,1.28165,37171
2005-06-28,1.28150,1.28760,1.27710,1.28230,1.28180,1.28790,1.27740,1.28260,1.28245,37907
2005-06-29,1.28240,1.28620,1.27820,1.28120,1.28270,1.28650,1.27850,1.28150,1.28135,40580
2005-06-30,1.28130,1.29790,1.28120,1.29600,1.28160,1.29850,1.28150,1.29700,1.29650,35731
2005-07-02,1.29620,1.29730,1.29440,1.29710,1.29720,1.29830,1.29540,1.29810,1.29760,567
2005-07-03,1.29700,1.30390,1.29620,1.30350,1.29800,1.30420,1.29650,1.30380,1.30365,27992
2005-07-04,1.30340,1.30720,1.29950,1.30400,1.30370,1.30750,1.29980,1.30430,1.30415,38040
2005-07-05,1.30390,1.30690,1.29980,1.30210,1.30420,1.30720,1.30010,1.30240,1.30225,35087
2005-07-06,1.30210,1.30480,1.28420,1.29780,1.30240,1.30510,1.28460,1.29810,1.29795,34203
2005-07-07,1.29770,1.30740,1.29580,1.29900,1.29800,1.30780,1.29620,1.30000,1.29950,43417
2005-07-09,1.29830,1.29930,1.29820,1.29880,1.29930,1.30030,1.29920,1.29980,1.29930,541
2005-07-10,1.29880,1.30060,1.28560,1.28700,1.29980,1.30120,1.28590,1.28730,1.28715,36561
