date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,102.490,102.720,102.440,102.530,102.590,102.820,102.540,102.590,102.56000,676
2005-01-03,102.540,103.450,102.350,102.760,102.600,103.480,102.380,102.790,102.77500,30681
2005-01-04,102.760,104.790,102.430,104.340,102.790,104.820,102.460,104.370,104.35500,39559
2005-01-05,104.330,105.010,103.760,103.920,104.360,105.040,103.790,103.940,103.93000,36425
2005-01-06,103.930,105.170,103.910,104.900,103.950,105.200,103.930,104.930,104.91500,36158
2005-01-07,104.900,105.120,103.850,104.710,104.930,105.140,103.880,104.810,104.76000,41745
2005-01-09,104.760,104.830,104.610,104.620,104.860,104.930,104.710,104.720,104.67000,567
2005-01-10,104.640,104.795,104.080,104.175,104.740,104.870,104.100,104.205,104.19000,30176
2005-01-11,104.175,104.295,103.110,103.440,104.205,104.325,103.130,103.460,103.45000,43238
2005-01-12,103.440,103.550,102.127,102.465,103.460,103.570,102.154,102.495,102.48000,41769
2005-01-13,102.465,102.827,102.225,102.490,102.495,102.854,102.255,102.517,102.50350,42512
2005-01-14,102.490,103.190,101.770,101.980,102.517,103.220,101.797,102.080,102.03000,47067
2005-01-16,101.930,102.040,101.830,101.980,102.030,102.140,101.930,102.080,102.03000,1834
2005-01-17,101.980,102.340,101.680,102.240,102.080,102.367,101.707,102.267,102.25350,19582
2005-01-18,102.240,102.985,102.140,102.237,102.267,103.012,102.167,102.264,102.25050,28709
2005-01-19,102.237,102.967,102.017,102.917,102.264,102.994,102.044,102.944,102.93050,31223
2005-01-20,102.917,103.590,102.487,103.377,102.944,103.617,102.514,103.404,103.39050,31683
2005-01-21,103.377,103.905,102.560,102.670,103.404,103.932,102.640,102.770,102.72000,25717
2005-01-23,102.660,102.820,102.640,102.790,102.760,102.920,102.740,102.890,102.84000,1242
2005-01-24,102.800,103.010,102.500,102.610,102.900,103.037,102.527,102.637,102.62350,24545
2005-01-25,102.610,104.343,102.560,104.053,102.637,104.370,102.587,104.080,104.06650,30117
2005-01-26,104.033,104.063,102.761,103.078,104.060,104.090,102.788,103.105,103.09150,28008
2005-01-27,103.078,103.527,102.367,102.855,103.105,103.554,102.394,102.885,102.87000,31106
2005-01-28,102.865,103.773,102.825,103.230,102.895,103.800,102.855,103.330,103.28000,18225
2005-01-30,103.430,103.650,103.340,103.580,103.530,103.750,103.440,103.680,103.63000,1558
2005-01-31,103.580,103.787,103.335,103.605,103.680,103.814,103.362,103.632,103.61850,24115
2005-02-01,103.605,104.067,103.485,103.647,103.632,104.094,103.512,103.674,103.66050,24697
2005-02-02,103.647,104.074,103.347,103.670,103.674,104.101,103.374,103.697,103.68350,26311
2005-02-03,103.670,104.723,103.630,104.470,103.697,104.750,103.657,104.497,104.48350,27732
2005-02-04,104.470,104.620,103.448,104.050,104.497,104.647,103.498,104.150,104.10000,25839
2005-02-05,104.540,104.540,104.540,104.540,104.640,104.640,104.640,104.640,104.59000,1
2005-02-06,104.030,104.615,104.030,104.305,104.130,104.705,104.130,104.395,104.35000,2010
2005-02-07,104.305,105.040,104.015,104.850,104.395,105.067,104.105,104.877,104.86350,27614
2005-02-08,104.840,105.942,104.780,105.720,104.867,105.969,104.807,105.747,105.73350,28298
2005-02-09,105.710,105.963,105.305,105.590,105.737,105.990,105.332,105.617,105.60350,26168
2005-02-10,105.590,106.835,105.357,105.850,105.617,106.862,105.384,105.877,105.86350,27822
2005-02-11,105.850,105.895,105.499,105.670,105.877,105.922,105.526,105.770,105.72000,16682
2005-02-13,105.590,105.675,105.360,105.430,105.690,105.775,105.460,105.530,105.48000,1317
2005-02-14,105.430,105.430,104.652,105.107,105.530,105.530,104.679,105.134,105.12050,25104
2005-02-15,105.097,105.347,104.287,104.575,105.124,105.374,104.314,104.602,104.58850,26892
2005-02-16,104.575,105.707,104.555,105.497,104.602,105.734,104.582,105.524,105.51050,34608
2005-02-17,105.497,105.783,105.153,105.498,105.524,105.810,105.180,105.525,105.51150,38420
2005-02-18,105.488,105.864,105.160,105.600,105.515,105.891,105.187,105.700,105.65000,33986
2005-02-20,105.580,105.750,105.580,105.610,105.680,105.850,105.680,105.710,105.66000,1173
2005-02-21,105.610,105.796,105.385,105.435,105.710,105.823,105.412,105.462,105.44850,26413
2005-02-22,105.435,105.584,103.817,104.257,105.462,105.611,103.844,104.284,104.27050,47637
2005-02-23,104.257,105.117,104.158,105.026,104.284,105.144,104.185,105.053,105.03950,45501
2005-02-24,105.046,105.584,104.610,105.514,105.073,105.611,104.637,105.541,105.52750,43194
2005-02-25,105.514,105.524,105.030,105.177,105.541,105.551,105.057,105.277,105.22700,37677
2005-02-27,105.182,105.277,104.757,104.787,105.282,105.377,104.857,104.887,104.83700,1417
2005-02-28,104.787,104.854,104.084,104.567,104.887,104.937,104.133,104.594,104.58050,40345
2005-03-01,104.567,104.787,104.157,104.462,104.594,104.814,104.187,104.492,104.47700,40326
2005-03-02,104.462,105.146,104.402,104.812,104.492,105.173,104.432,104.839,104.82550,40035
2005-03-03,104.812,105.367,104.728,105.327,104.839,105.394,104.755,105.354,105.34050,37780
2005-03-04,105.327,105.565,104.330,104.743,105.354,105.615,104.357,104.843,104.79300,33739
2005-03-06,104.730,104.740,104.500,104.590,104.830,104.840,104.600,104.690,104.64000,1212
2005-03-07,104.590,105.363,104.480,105.094,104.690,105.390,104.580,105.121,105.10750,33065
2005-03-08,105.094,105.164,104.347,104.582,105.121,105.191,104.374,104.609,104.59550,37247
2005-03-09,104.582,104.742,103.657,104.024,104.609,104.769,103.684,104.051,104.03750,42356
2005-03-10,104.014,104.331,103.700,103.947,104.041,104.358,103.727,103.974,103.96050,42538
2005-03-11,103.947,104.287,103.727,103.940,103.974,104.314,103.754,104.040,103.99000,35160
2005-03-13,103.935,103.935,103.665,103.760,104.035,104.035,103.765,103.860,103.81000,1637
2005-03-14,103.760,105.175,103.750,104.972,103.860,105.202,103.850,104.999,104.98550,39438
2005-03-15,104.972,104.987,104.138,104.536,104.999,105.014,104.177,104.566,104.55100,39123
2005-03-16,104.536,104.682,103.887,104.206,104.566,104.712,103.914,104.233,104.21950,36849
2005-03-17,104.206,104.863,104.116,104.543,104.233,104.890,104.143,104.570,104.55650,35195
2005-03-18,104.543,105.057,104.543,104.690,104.570,105.084,104.570,104.790,104.74000,33539
2005-03-20,104.715,104.770,104.625,104.650,104.815,104.870,104.725,104.750,104.70000,769
2005-03-21,104.640,105.491,104.620,105.199,104.740,105.518,104.720,105.226,105.21250,35064
2005-03-22,105.199,105.674,104.844,105.574,105.226,105.701,104.871,105.601,105.58750,39463
2005-03-23,105.574,106.177,105.264,105.917,105.601,106.204,105.291,105.944,105.93050,44337
2005-03-24,105.917,106.564,105.917,106.402,105.944,106.591,105.944,106.429,106.41550,41642
2005-03-25,106.402,106.522,106.262,106.335,106.429,106.549,106.289,106.435,106.38500,9541
2005-03-27,106.305,106.550,106.280,106.460,106.405,106.650,106.380,106.560,106.51000,1076
2005-03-28,106.450,107.373,106.450,107.333,106.550,107.400,106.550,107.360,107.34650,33677
2005-03-29,107.333,107.686,106.943,107.531,107.360,107.713,106.970,107.558,107.54450,41124
2005-03-30,107.531,107.643,107.111,107.444,107.558,107.670,107.138,107.471,107.45750,41741
2005-03-31,107.444,107.484,106.639,107.275,107.471,107.511,106.666,107.305,107.29000,43703
2005-04-01,107.285,107.773,106.728,107.500,107.315,107.800,106.775,107.600,107.55000,38963
2005-04-03,107.545,107.690,107.510,107.680,107.645,107.790,107.610,107.780,107.73000,1402
2005-04-04,107.680,108.414,107.577,108.253,107.780,108.441,107.604,108.280,108.26650,35548
2005-04-05,108.253,108.886,108.067,108.303,108.280,108.913,108.094,108.330,108.31650,37387
2005-04-06,108.303,108.787,107.853,108.787,108.330,108.814,107.880,108.814,108.80050,38766
2005-04-07,108.787,108.787,108.093,108.620,108.814,108.814,108.120,108.647,108.63350,39493
2005-04-08,108.630,108.860,108.186,108.206,108.657,108.887,108.230,108.306,108.25600,35325
2005-04-10,108.231,108.496,108.206,108.256,108.331,108.596,108.306,108.356,108.30600,1584
2005-04-11,108.256,108.503,107.603,107.603,108.356,108.530,107.630,107.630,107.61650,34472
2005-04-12,107.603,108.465,107.499,107.810,107.630,108.492,107.526,107.837,107.82350,40938
2005-04-13,107.810,107.820,107.120,107.320,107.837,107.847,107.157,107.347,107.33350,41604
2005-04-14,107.320,108.420,107.240,108.150,107.347,108.447,107.267,108.177,108.16350,43477
2005-04-15,108.150,108.544,107.466,107.760,108.177,108.571,107.493,107.860,107.81000,40362
2005-04-17,107.700,107.830,107.440,107.470,107.800,107.930,107.540,107.570,107.52000,1606
2005-04-18,107.470,108.047,107.255,107.475,107.570,108.074,107.282,107.502,107.48850,40531
2005-04-19,107.475,107.515,106.710,106.904,107.502,107.542,106.737,106.931,106.91750,42157
2005-04-20,106.904,107.474,106.607,106.937,106.931,107.501,106.634,106.964,106.95050,42122
2005-04-21,106.937,107.423,106.667,106.847,106.964,107.450,106.694,106.874,106.86050,42679
2005-04-22,106.857,106.967,105.737,105.960,106.884,106.994,105.764,106.060,106.01000,40923
2005-04-24,105.965,105.965,105.200,105.650,106.065,106.065,105.300,105.750,105.70000,3583
2005-04-25,105.640,106.053,105.547,105.695,105.740,106.080,105.574,105.725,105.71000,40315
2005-04-26,105.705,106.165,105.565,106.135,105.735,106.195,105.595,106.165,106.15000,38530
2005-04-27,106.135,106.395,105.677,106.055,106.165,106.425,105.704,106.085,106.07000,42172
2005-04-28,106.055,106.285,105.517,106.055,106.085,106.315,105.544,106.085,106.07000,43449
2005-04-29,106.055,106.055,104.607,104.690,106.085,106.085,104.634,104.790,104.74000,41986
2005-05-01,104.740,105.240,104.740,105.140,104.840,105.280,104.840,105.180,105.16000,2040
2005-05-02,105.140,105.414,104.897,104.995,105.180,105.441,104.924,105.025,105.01000,17449
2005-05-03,104.995,105.335,104.845,104.895,105.025,105.365,104.875,104.925,104.91000,33439
2005-05-04,104.895,104.965,104.200,104.535,104.925,104.995,104.227,104.565,104.55000,32887
2005-05-05,104.535,104.675,104.227,104.635,104.565,104.705,104.254,104.665,104.65000,34568
2005-05-06,104.635,105.083,104.525,105.010,104.665,105.110,104.555,105.110,105.06000,34781
2005-05-08,105.095,105.310,105.025,105.270,105.195,105.410,105.125,105.370,105.32000,1788
2005-05-09,105.270,105.790,105.117,105.730,105.370,105.817,105.144,105.757,105.74350,35466
2005-05-10,105.730,105.953,105.347,105.427,105.757,105.980,105.374,105.454,105.44050,33686
2005-05-11,105.427,105.933,104.873,105.707,105.454,105.960,104.900,105.734,105.72050,36801
2005-05-12,105.707,106.922,105.707,106.747,105.734,106.949,105.734,106.774,106.76050,32093
2005-05-13,106.747,107.417,106.657,107.250,106.774,107.444,106.684,107.350,107.30000,23967
2005-05-15,107.290,107.420,107.185,107.410,107.390,107.520,107.285,107.510,107.46000,3161
