date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,6.06700,6.08020,6.05460,6.05460,6.08200,6.09520,6.06960,6.06960,6.06210,454
2005-01-03,6.05390,6.14400,6.05370,6.11540,6.06890,6.15150,6.06200,6.12040,6.11790,15895
2005-01-04,6.11500,6.24830,6.10370,6.23330,6.12000,6.25430,6.10870,6.23930,6.23630,17608
2005-01-05,6.23370,6.28080,6.20930,6.22700,6.23970,6.28430,6.21280,6.23050,6.22875,18495
2005-01-06,6.22630,6.28080,6.22370,6.27380,6.22980,6.28580,6.22720,6.27880,6.27630,16783
2005-01-07,6.27410,6.31680,6.20900,6.29980,6.27910,6.32080,6.21500,6.31480,6.30730,17408
2005-01-09,6.30090,6.30210,6.28570,6.28570,6.31590,6.31710,6.30070,6.30070,6.29320,349
2005-01-10,6.28600,6.29930,6.26570,6.27670,6.30100,6.30350,6.26920,6.28170,6.27920,13980
2005-01-11,6.27650,6.27850,6.22350,6.24950,6.28150,6.28350,6.22700,6.25450,6.25200,15581
2005-01-12,6.25000,6.27030,6.16430,6.17820,6.25500,6.27380,6.16780,6.18320,6.18070,15325
2005-01-13,6.17840,6.21010,6.17240,6.19160,6.18340,6.21360,6.17740,6.19760,6.19460,14849
2005-01-14,6.19140,6.26350,6.19120,6.24110,6.19740,6.26700,6.19720,6.25610,6.24860,18420
2005-01-16,6.24940,6.25600,6.24120,6.24940,6.26440,6.27100,6.25620,6.26440,6.25690,658
2005-01-17,6.24960,6.29770,6.24180,6.28130,6.26460,6.30270,6.24590,6.28630,6.28380,9784
2005-01-18,6.28100,6.29870,6.23920,6.27240,6.28600,6.30370,6.24270,6.27740,6.27490,15662
2005-01-19,6.27220,6.29740,6.21110,6.27750,6.27720,6.30240,6.21460,6.28250,6.28000,15328
2005-01-20,6.27710,6.33390,6.26800,6.32240,6.28210,6.33740,6.27290,6.32740,6.32490,16025
2005-01-21,6.32290,6.34390,6.27680,6.29070,6.32790,6.34740,6.28180,6.30570,6.29820,14889
2005-01-23,6.28890,6.29270,6.27930,6.29070,6.30390,6.30770,6.29430,6.30570,6.29820,425
2005-01-24,6.29090,6.29930,6.25710,6.29010,6.30590,6.30780,6.26060,6.29510,6.29260,12528
2005-01-25,6.29060,6.34080,6.26940,6.33640,6.29560,6.34580,6.27290,6.34140,6.33890,13947
2005-01-26,6.33610,6.34690,6.29540,6.30760,6.34110,6.35040,6.29890,6.31260,6.31010,15385
2005-01-27,6.30740,6.34610,6.29280,6.32500,6.31240,6.34960,6.29630,6.33000,6.32750,15444
2005-01-28,6.32520,6.36100,6.31120,6.32520,6.33020,6.36450,6.31470,6.34020,6.33270,12798
2005-01-30,6.32520,6.33790,6.32410,6.33140,6.34020,6.35290,6.33910,6.34640,6.33890,756
2005-01-31,6.33170,6.36700,6.32310,6.35720,6.34670,6.37200,6.32660,6.36220,6.35970,13882
2005-02-01,6.35740,6.37600,6.33880,6.34690,6.36240,6.37950,6.34380,6.35190,6.34940,12787
2005-02-02,6.34710,6.34760,6.31130,6.33270,6.35210,6.35260,6.31480,6.33770,6.33520,13626
2005-02-03,6.33200,6.39130,6.32980,6.38930,6.33700,6.39630,6.33480,6.39430,6.39180,13259
2005-02-04,6.39010,6.44540,6.35220,6.43610,6.39510,6.45310,6.35720,6.45110,6.44360,13806
2005-02-06,6.43420,6.44650,6.43250,6.44450,6.44920,6.46150,6.44750,6.45950,6.45200,1046
2005-02-07,6.44420,6.56810,6.44250,6.55530,6.45920,6.57310,6.44870,6.56030,6.55780,14886
2005-02-08,6.55500,6.59450,6.52160,6.56710,6.56000,6.59800,6.52510,6.57210,6.56960,13239
2005-02-09,6.56740,6.57410,6.52400,6.54490,6.57240,6.57910,6.52750,6.54990,6.54740,13331
