date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,6.63750,6.65130,6.63580,6.63740,6.65750,6.67130,6.64740,6.64740,6.64240,1316
2005-01-03,6.63740,6.72870,6.63150,6.70720,6.64740,6.73370,6.63500,6.71220,6.70970,55096
2005-01-04,6.70720,6.83370,6.68610,6.81030,6.71220,6.83870,6.69110,6.81530,6.81280,66975
2005-01-05,6.81080,6.85600,6.78440,6.79960,6.81580,6.85950,6.78790,6.80460,6.80210,63200
2005-01-06,6.79960,6.88110,6.79900,6.86970,6.80460,6.88460,6.80400,6.87470,6.87220,56908
2005-01-07,6.86970,6.94990,6.81700,6.91620,6.87470,6.95340,6.82050,6.93620,6.92620,59533
2005-01-09,6.91730,6.91850,6.90180,6.90180,6.93730,6.93850,6.92180,6.92180,6.91180,899
2005-01-10,6.90180,6.93220,6.88470,6.89580,6.92180,6.94520,6.88820,6.90080,6.89830,54082
2005-01-11,6.89580,6.90090,6.85220,6.87790,6.90080,6.90590,6.85570,6.88290,6.88040,56913
2005-01-12,6.87790,6.91600,6.80390,6.82530,6.88290,6.91950,6.80740,6.83030,6.82780,56917
2005-01-13,6.82530,6.85940,6.81860,6.84830,6.83030,6.86440,6.82360,6.85330,6.85080,54585
2005-01-14,6.84830,6.92810,6.84710,6.90020,6.85330,6.93160,6.85210,6.92020,6.91020,71572
2005-01-16,6.90280,6.90820,6.89900,6.90590,6.92280,6.92820,6.91900,6.92590,6.91590,1623
2005-01-17,6.90590,6.95000,6.89820,6.94030,6.92590,6.95500,6.90320,6.94530,6.94280,39084
2005-01-18,6.94030,6.96630,6.90710,6.94620,6.94530,6.96980,6.91060,6.95120,6.94870,60390
2005-01-19,6.94620,6.96780,6.88100,6.93820,6.95120,6.97280,6.88450,6.94320,6.94070,61998
2005-01-20,6.93820,6.99280,6.92670,6.98080,6.94320,6.99780,6.93160,6.98580,6.98330,61111
2005-01-21,6.98080,6.99620,6.92660,6.94080,6.98580,7.00120,6.93160,6.96080,6.95080,58219
2005-01-23,6.93820,6.94210,6.92950,6.93480,6.95820,6.96210,6.94950,6.95480,6.94480,1103
2005-01-24,6.93480,6.96740,6.91670,6.95140,6.95480,6.97240,6.92020,6.95640,6.95390,56626
2005-01-25,6.95140,7.01180,6.93150,6.99760,6.95640,7.01530,6.93750,7.00260,7.00010,60474
2005-01-26,6.99760,7.00070,6.92280,6.93810,7.00260,7.00420,6.92630,6.94310,6.94060,56610
2005-01-27,6.93810,6.97720,6.90690,6.96440,6.94310,6.98190,6.91040,6.96940,6.96690,58536
