date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-03,4034.0,4066.9,4027.1,4036.1,4034.0,4066.9,4027.1,4036.1,4036.10000,151
2005-01-04,4025.1,4035.2,4013.2,4023.3,4025.1,4035.2,4013.2,4023.3,4023.30000,138
2005-01-05,4015.3,4036.3,4015.3,4033.4,4015.3,4036.3,4015.3,4033.4,4033.40000,126
2005-01-06,4034.5,4066.4,4032.5,4060.4,4034.5,4066.4,4032.5,4060.4,4060.40000,66
2005-01-09,4058.9,4083.0,4050.9,4071.0,4058.9,4083.0,4050.9,4071.0,4071.00000,91
2005-01-10,4072.0,4086.0,4027.2,4044.2,4072.0,4086.0,4027.2,4044.2,4044.20000,152
2005-01-11,4041.3,4070.3,4041.3,4070.3,4041.3,4070.3,4041.3,4070.3,4070.30000,125
2005-01-12,4071.4,4085.3,4047.6,4049.6,4071.4,4085.3,4047.6,4049.6,4049.60000,128
2005-01-13,4046.6,4059.6,4042.6,4047.6,4046.6,4059.6,4042.6,4047.6,4047.60000,81
2005-01-16,4072.0,4080.0,4060.1,4067.1,4072.0,4080.0,4060.1,4067.1,4067.10000,77
2005-01-17,4069.2,4082.2,4037.3,4060.4,4069.2,4082.2,4037.3,4060.4,4060.40000,152
2005-01-18,4065.4,4069.4,4020.5,4025.6,4065.4,4069.4,4020.5,4025.6,4025.60000,201
2005-01-19,4020.7,4028.7,4007.8,4009.8,4020.7,4028.7,4007.8,4009.8,4009.80000,197
2005-01-20,4011.8,4032.8,4011.8,4022.9,4011.8,4032.8,4011.8,4022.9,4022.90000,89
2005-01-23,4018.3,4034.4,4018.3,4025.5,4018.3,4034.4,4018.3,4025.5,4025.50000,140
2005-01-24,4029.5,4062.5,4025.5,4058.6,4029.5,4062.5,4025.5,4058.6,4058.60000,130
2005-01-25,4063.6,4066.7,4057.7,4063.7,4063.6,4066.7,4057.7,4063.7,4063.70000,34
2005-01-26,4065.7,4110.8,4061.7,4102.8,4065.7,4110.8,4061.7,4102.8,4102.80000,191
2005-01-27,4098.8,4106.8,4075.9,4075.9,4098.8,4106.8,4075.9,4075.9,4075.90000,82
2005-01-30,4080.4,4091.4,4075.4,4088.5,4080.4,4091.4,4075.4,4088.5,4088.50000,172
2005-01-31,4090.5,4112.6,4090.5,4110.7,4090.5,4112.6,4090.5,4110.7,4110.70000,153
2005-02-01,4120.6,4135.8,4113.7,4133.8,4120.6,4135.8,4113.7,4133.8,4133.80000,150
2005-02-02,4128.8,4138.8,4120.8,4129.0,4128.8,4138.8,4120.8,4129.0,4129.00000,134
2005-02-03,4123.0,4148.0,4117.0,4146.0,4123.0,4148.0,4117.0,4146.0,4146.00000,96
2005-02-06,4161.4,4169.5,4151.5,4165.6,4161.4,4169.5,4151.5,4165.6,4165.60000,149
2005-02-07,4157.6,4167.7,4147.6,4162.8,4157.6,4167.7,4147.6,4162.8,4162.80000,146
2005-02-08,4167.8,4173.8,4134.0,4134.0,4167.8,4173.8,4134.0,4134.0,4134.00000,145
2005-02-09,4140.0,4161.1,4135.0,4160.1,4140.0,4161.1,4135.0,4160.1,4160.10000,117
2005-02-10,4155.1,4167.1,4146.2,4148.2,4155.1,4167.1,4146.2,4148.2,4148.20000,100
2005-02-13,4164.6,4170.6,4125.7,4145.8,4164.6,4170.6,4125.7,4145.8,4145.80000,180
2005-02-14,4150.8,4150.8,4125.9,4144.0,4150.8,4150.8,4125.9,4144.0,4144.00000,152
2005-02-15,4151.0,4161.0,4122.1,4140.2,4151.0,4161.0,4122.1,4140.2,4140.20000,190
2005-02-16,4141.2,4154.2,4131.2,4137.3,4141.2,4154.2,4131.2,4137.3,4137.30000,141
2005-02-17,4134.4,4157.4,4130.4,4155.4,4134.4,4157.4,4130.4,4155.4,4155.40000,132
2005-02-20,4148.9,4158.9,4147.9,4158.9,4148.9,4158.9,4147.9,4158.9,4158.90000,69
2005-02-21,4160.0,4160.0,4115.2,4116.2,4160.0,4160.0,4115.2,4116.2,4116.20000,155
2005-02-22,4117.2,4119.4,4096.4,4115.4,4117.2,4119.4,4096.4,4115.4,4115.40000,164
2005-02-23,4116.4,4120.4,4065.5,4085.6,4116.4,4120.4,4065.5,4085.6,4085.60000,207
2005-02-24,4087.6,4124.6,4087.6,4119.6,4087.6,4124.6,4087.6,4119.6,4119.60000,99
2005-02-27,4138.1,4166.1,4138.1,4145.2,4138.1,4166.1,4138.1,4145.2,4145.20000,234
2005-02-28,4143.2,4184.3,4143.2,4174.4,4143.2,4184.3,4143.2,4174.4,4174.40000,194
2005-03-01,4182.4,4198.4,4174.4,4185.5,4182.4,4198.4,4174.4,4185.5,4185.50000,205
2005-03-02,4187.6,4219.6,4181.6,4207.7,4187.6,4219.6,4181.6,4207.7,4207.70000,207
2005-03-03,4208.7,4230.7,4208.7,4215.8,4208.7,4230.7,4208.7,4215.8,4215.80000,142
2005-03-06,4247.2,4251.2,4231.3,4239.4,4247.2,4251.2,4231.3,4239.4,4239.40000,191
2005-03-07,4236.4,4251.5,4233.4,4237.6,4236.4,4251.5,4233.4,4237.6,4237.60000,178
2005-03-08,4243.6,4253.6,4222.7,4222.7,4243.6,4253.6,4222.7,4222.7,4222.70000,201
2005-03-09,4223.8,4232.9,4209.8,4228.9,4223.8,4232.9,4209.8,4228.9,4228.90000,231
2005-03-10,4225.9,4225.9,4196.0,4212.0,4225.9,4225.9,4196.0,4212.0,4212.00000,144
2005-03-13,4204.5,4247.6,4199.5,4247.6,4204.5,4247.6,4199.5,4247.6,4247.60000,232
2005-03-14,4241.6,4251.6,4225.8,4226.8,4241.6,4251.6,4225.8,4226.8,4226.80000,228
2005-03-15,4230.8,4254.8,4223.2,4226.2,4230.8,4254.8,4223.2,4226.2,4226.20000,282
2005-03-16,4234.2,4256.1,4216.2,4233.3,4234.2,4256.1,4216.2,4233.3,4233.30000,198
2005-03-17,4230.4,4261.3,4230.4,4253.3,4230.4,4261.3,4230.4,4253.3,4253.30000,121
2005-03-20,4255.9,4271.9,4251.9,4259.0,4255.9,4271.9,4251.9,4259.0,4259.00000,132
2005-03-21,4253.1,4259.1,4204.4,4206.4,4253.1,4259.1,4204.4,4206.4,4206.40000,212
2005-03-22,4201.5,4201.5,4155.7,4163.8,4201.5,4201.5,4155.7,4163.8,4163.80000,269
2005-03-23,4161.8,4179.8,4127.0,4150.9,4161.8,4179.8,4127.0,4150.9,4150.90000,181
2005-03-27,4148.7,4160.7,4148.7,4156.8,4148.7,4160.7,4148.7,4156.8,4156.80000,32
2005-03-28,4139.9,4159.8,4090.1,4094.2,4139.9,4159.8,4090.1,4094.2,4094.20000,287
