date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,5693.7,5765.8,5693.7,5750.8,5693.7,5765.8,5693.7,5750.8,5750.80000,1901
2005-01-03,5747.7,5756.7,5735.7,5749.7,5747.7,5756.7,5735.7,5749.7,5749.70000,1142
2005-01-04,5717.6,5737.6,5706.6,5721.6,5717.6,5737.6,5706.6,5721.6,5721.60000,1285
2005-01-05,5699.5,5741.5,5699.5,5724.5,5699.5,5741.5,5699.5,5724.5,5724.50000,964
2005-01-06,5708.4,5722.4,5686.4,5702.4,5708.4,5722.4,5686.4,5702.4,5702.40000,1252
2005-01-09,5704.2,5720.2,5692.2,5712.2,5704.2,5720.2,5692.2,5712.2,5712.20000,1357
2005-01-10,5698.1,5733.1,5682.1,5694.1,5698.1,5733.1,5682.1,5694.1,5694.10000,1608
2005-01-11,5701.0,5710.0,5636.0,5654.0,5701.0,5710.0,5636.0,5654.0,5654.00000,1331
2005-01-12,5674.9,5680.9,5652.9,5667.9,5674.9,5680.9,5652.9,5667.9,5667.90000,1342
2005-01-13,5640.8,5726.9,5640.8,5715.9,5640.8,5726.9,5640.8,5715.9,5715.90000,1273
2005-01-16,5718.7,5744.7,5711.7,5739.7,5718.7,5744.7,5711.7,5739.7,5739.70000,654
2005-01-17,5732.6,5741.6,5699.5,5726.6,5732.6,5741.6,5699.5,5726.6,5726.60000,1143
2005-01-18,5734.5,5751.5,5723.5,5723.5,5734.5,5751.5,5723.5,5723.5,5723.50000,1101
2005-01-19,5682.4,5713.4,5674.4,5706.4,5682.4,5713.4,5674.4,5706.4,5706.40000,1551
2005-01-20,5703.3,5722.3,5696.3,5719.3,5703.3,5722.3,5696.3,5719.3,5719.30000,1357
2005-01-23,5688.1,5736.1,5683.1,5724.1,5688.1,5736.1,5683.1,5724.1,5724.10000,2594
2005-01-24,5726.0,5752.0,5721.0,5749.0,5726.0,5752.0,5721.0,5749.0,5749.00000,1386
2005-01-25,5761.0,5763.0,5737.0,5745.0,5761.0,5763.0,5737.0,5745.0,5745.00000,997
2005-01-26,5752.9,5761.9,5717.9,5744.9,5752.9,5761.9,5717.9,5744.9,5744.90000,1588
2005-01-27,5750.8,5760.8,5723.8,5724.8,5750.8,5760.8,5723.8,5724.8,5724.80000,1433
2005-01-30,5750.6,5765.6,5735.6,5749.6,5750.6,5765.6,5735.6,5749.6,5749.60000,1269
2005-01-31,5755.5,5776.5,5740.5,5775.5,5755.5,5776.5,5740.5,5775.5,5775.50000,1329
