date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,2771.8,2797.8,2771.8,2784.8,2771.8,2797.8,2771.8,2784.8,2784.80000,95
2005-01-03,2788.8,2798.8,2781.8,2786.8,2788.8,2798.8,2781.8,2786.8,2786.80000,102
2005-01-04,2774.7,2789.7,2770.7,2776.7,2774.7,2789.7,2770.7,2776.7,2776.70000,94
2005-01-05,2780.6,2800.6,2780.6,2798.6,2780.6,2800.6,2780.6,2798.6,2798.60000,82
2005-01-06,2791.6,2815.6,2791.6,2808.6,2791.6,2815.6,2791.6,2808.6,2808.60000,107
2005-01-09,2817.4,2818.4,2801.4,2816.4,2817.4,2818.4,2801.4,2816.4,2816.40000,85
2005-01-10,2799.3,2807.4,2772.3,2778.3,2799.3,2807.4,2772.3,2778.3,2778.30000,73
2005-01-11,2783.2,2787.3,2743.2,2756.2,2783.2,2787.3,2743.2,2756.2,2756.20000,104
2005-01-12,2768.2,2772.2,2753.1,2763.1,2768.2,2772.2,2753.1,2763.1,2763.10000,87
2005-01-13,2766.1,2779.1,2755.1,2771.1,2766.1,2779.1,2755.1,2771.1,2771.10000,70
2005-01-16,2780.9,2785.9,2774.9,2785.9,2780.9,2785.9,2774.9,2785.9,2785.90000,58
2005-01-17,2790.9,2790.9,2769.8,2789.8,2790.9,2790.9,2769.8,2789.8,2789.80000,64
2005-01-18,2788.8,2799.8,2786.8,2791.8,2788.8,2799.8,2786.8,2791.8,2791.80000,58
2005-01-19,2771.7,2776.7,2762.7,2772.7,2771.7,2776.7,2762.7,2772.7,2772.70000,65
2005-01-20,2748.6,2771.6,2748.6,2770.6,2748.6,2771.6,2748.6,2770.6,2770.60000,39
2005-01-23,2753.4,2773.4,2748.4,2770.4,2753.4,2773.4,2748.4,2770.4,2770.40000,82
2005-01-24,2759.4,2796.4,2759.4,2792.4,2759.4,2796.4,2759.4,2792.4,2792.40000,100
2005-01-25,2788.3,2798.4,2785.3,2792.3,2788.3,2798.4,2785.3,2792.3,2792.30000,73
2005-01-26,2793.3,2814.3,2784.3,2809.3,2793.3,2814.3,2784.3,2809.3,2809.30000,117
2005-01-27,2817.2,2817.2,2786.2,2792.2,2817.2,2817.2,2786.2,2792.2,2792.20000,87
2005-01-30,2808.0,2819.0,2804.0,2814.0,2808.0,2819.0,2804.0,2814.0,2814.00000,64
2005-01-31,2809.0,2833.0,2807.0,2832.0,2809.0,2833.0,2807.0,2832.0,2832.00000,70
2005-02-01,2834.9,2839.9,2826.9,2836.9,2834.9,2839.9,2826.9,2836.9,2836.90000,71
2005-02-02,2838.9,2840.9,2825.8,2836.8,2838.9,2840.9,2825.8,2836.8,2836.80000,57
2005-02-03,2841.8,2873.8,2841.8,2866.8,2841.8,2873.8,2841.8,2866.8,2866.80000,145
