date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2020-04-27,19772.9,20132.9,19610.7,19947.9,19791.9,20146.9,19621.9,19961.9,19954.90000,26848
2020-04-28,19978.1,20503.1,19896.7,20437.1,19996.3,20512.1,19907.1,20448.0,20442.55000,22605
2020-04-29,20413.2,20443.2,19808.2,19928.2,20447.2,20462.2,19817.2,19937.2,19932.70000,36867
2020-04-30,19819.6,19959.5,19442.5,19479.5,19869.6,19970.8,19453.5,19508.5,19494.00000,27619
2020-05-03,19364.7,19419.7,19058.9,19394.7,19383.7,19430.6,19069.5,19408.7,19401.70000,22316
2020-05-04,19394.8,19739.8,19367.9,19569.8,19410.5,19751.3,19378.8,19588.8,19579.30000,17663
2020-05-05,19535.7,19744.9,19352.9,19369.9,19568.9,19758.9,19363.9,19378.9,19374.40000,18795
2020-05-06,19374.9,19839.9,19274.9,19769.9,19408.9,19848.9,19283.9,19783.9,19776.90000,26841
2020-05-07,19775.0,20246.0,19764.9,20246.0,19790.7,20253.0,19774.0,20253.0,20249.50000,5211
2020-05-10,20146.8,20611.0,20143.5,20491.0,20175.5,20618.0,20153.0,20498.0,20494.50000,5889
2020-05-11,20468.4,20520.9,20050.9,20050.9,20505.4,20527.9,20057.9,20057.9,20054.40000,5702
2020-05-12,20063.4,20410.9,20035.9,20137.9,20075.4,20417.9,20042.9,20145.9,20141.90000,8405
2020-05-13,20176.6,20225.8,19605.8,20073.3,20185.3,20232.8,19612.8,20080.3,20076.80000,9140
2020-05-14,20053.4,20175.9,19815.9,20018.4,20074.6,20182.9,19822.9,20030.4,20024.40000,8337
2020-05-17,20008.3,20675.8,19985.8,20560.8,20038.3,20682.8,19992.8,20567.8,20564.30000,5809
2020-05-18,20571.0,20680.8,20355.8,20375.8,20602.5,20687.8,20362.8,20382.8,20379.30000,7424
2020-05-19,20363.7,20810.8,20333.3,20730.8,20370.7,20817.8,20340.3,20737.8,20734.30000,5069
2020-05-20,20723.3,20748.3,20445.8,20463.3,20759.8,20759.8,20452.8,20470.3,20466.80000,5772
2020-05-21,20473.3,20605.8,20225.8,20568.3,20480.3,20612.8,20232.8,20575.3,20571.80000,5797
