date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-02,1210.4,1211.4,1209.6,1210.9,1210.4,1211.4,1209.6,1210.9,1210.90000,63
2005-01-03,1210.6,1218.1,1198.7,1203.2,1210.6,1218.1,1198.7,1203.2,1203.20000,8998
2005-01-04,1203.5,1206.5,1183.8,1188.3,1203.5,1206.5,1183.8,1188.3,1188.30000,10321
2005-01-05,1188.0,1192.0,1179.8,1181.3,1188.0,1192.0,1179.8,1181.3,1181.30000,10246
2005-01-06,1181.1,1190.8,1181.1,1185.6,1181.1,1190.8,1181.1,1185.6,1185.60000,9553
2005-01-07,1185.4,1191.6,1180.7,1182.9,1185.4,1191.6,1180.7,1182.9,1182.90000,9817
2005-01-09,1184.5,1185.0,1183.7,1184.5,1184.5,1185.0,1183.7,1184.5,1184.50000,76
2005-01-10,1184.7,1194.0,1182.5,1189.0,1184.7,1194.0,1182.5,1189.0,1189.00000,8615
2005-01-11,1189.3,1190.0,1179.1,1185.1,1189.3,1190.0,1179.1,1185.1,1185.10000,9379
2005-01-12,1184.8,1187.6,1174.1,1186.6,1184.8,1187.6,1174.1,1186.6,1186.60000,10748
2005-01-13,1186.4,1187.1,1173.7,1175.4,1186.4,1187.1,1173.7,1175.4,1175.40000,8604
2005-01-14,1175.2,1184.2,1174.4,1181.0,1175.2,1184.2,1174.4,1181.0,1181.00000,7776
2005-01-16,1182.5,1183.3,1182.3,1182.5,1182.5,1183.3,1182.3,1182.5,1182.50000,44
2005-01-17,1182.8,1184.5,1182.5,1183.8,1182.8,1184.5,1182.5,1183.8,1183.80000,275
2005-01-18,1184.1,1195.3,1178.3,1193.6,1184.1,1195.3,1178.3,1193.6,1193.60000,8828
2005-01-19,1193.8,1194.4,1174.4,1176.9,1193.8,1194.4,1174.4,1176.9,1176.90000,8640
2005-01-20,1176.7,1180.7,1171.7,1175.0,1176.7,1180.7,1171.7,1175.0,1175.00000,10679
2005-01-21,1175.2,1178.5,1165.0,1166.5,1175.2,1178.5,1165.0,1166.5,1166.50000,9634
2005-01-23,1167.6,1167.6,1166.6,1166.8,1167.6,1167.6,1166.6,1166.8,1166.80000,75
2005-01-24,1167.1,1172.1,1162.1,1165.4,1167.1,1172.1,1162.1,1165.4,1165.40000,10538
2005-01-25,1165.6,1173.4,1165.2,1169.2,1165.6,1173.4,1165.2,1169.2,1169.20000,9055
2005-01-26,1168.9,1174.7,1168.4,1170.5,1168.9,1174.7,1168.4,1170.5,1170.50000,9135
2005-01-27,1170.2,1176.0,1168.3,1175.0,1170.2,1176.0,1168.3,1175.0,1175.00000,9726
2005-01-28,1174.7,1175.0,1164.3,1173.0,1174.7,1175.0,1164.3,1173.0,1173.00000,9525
2005-01-30,1175.1,1180.1,1175.1,1177.9,1175.1,1180.1,1175.1,1177.9,1177.90000,242
2005-01-31,1177.6,1180.9,1175.1,1179.4,1177.6,1180.9,1175.1,1179.4,1179.40000,8601
2005-02-01,1179.2,1189.9,1177.7,1189.2,1179.2,1189.9,1177.7,1189.2,1189.20000,8743
2005-02-02,1188.9,1194.2,1187.2,1190.5,1188.9,1194.2,1187.2,1190.5,1190.50000,8033
2005-02-03,1190.2,1191.7,1184.0,1189.0,1190.2,1191.7,1184.0,1189.0,1189.00000,8439
2005-02-04,1189.3,1202.8,1186.8,1200.8,1189.3,1202.8,1186.8,1200.8,1200.80000,8720
2005-02-06,1201.1,1202.4,1201.1,1201.6,1201.1,1202.4,1201.1,1201.6,1201.60000,57
2005-02-07,1201.9,1203.4,1197.9,1199.4,1201.9,1203.4,1197.9,1199.4,1199.40000,6896
2005-02-08,1199.7,1204.7,1198.4,1201.2,1199.7,1204.7,1198.4,1201.2,1201.20000,7119
2005-02-09,1200.9,1203.0,1190.2,1191.5,1200.9,1203.0,1190.2,1191.5,1191.50000,8502
2005-02-10,1191.8,1198.0,1190.3,1195.3,1191.8,1198.0,1190.3,1195.3,1195.30000,8580
2005-02-11,1195.0,1208.5,1192.3,1204.8,1195.0,1208.5,1192.3,1204.8,1204.80000,8678
2005-02-13,1206.4,1206.9,1206.1,1206.4,1206.4,1206.9,1206.1,1206.4,1206.40000,47
2005-02-14,1206.6,1207.2,1202.7,1204.9,1206.6,1207.2,1202.7,1204.9,1204.90000,6061
2005-02-15,1204.7,1212.2,1204.2,1209.7,1204.7,1212.2,1204.2,1209.7,1209.70000,7592
2005-02-16,1209.5,1212.3,1202.3,1209.3,1209.5,1212.3,1202.3,1209.3,1209.30000,7858
2005-02-17,1209.0,1210.8,1199.3,1200.1,1209.0,1210.8,1199.3,1200.1,1200.10000,8058
2005-02-18,1200.3,1202.6,1196.3,1201.1,1200.3,1202.6,1196.3,1201.1,1201.10000,7559
2005-02-20,1201.7,1201.7,1200.9,1201.2,1201.7,1201.7,1200.9,1201.2,1201.20000,27
2005-02-21,1201.4,1202.2,1199.0,1200.5,1201.4,1202.2,1199.0,1200.5,1200.50000,326
2005-02-22,1200.2,1202.0,1183.0,1183.8,1200.2,1202.0,1183.0,1183.8,1183.80000,9355
2005-02-23,1183.5,1193.1,1182.6,1191.8,1183.5,1193.1,1182.6,1191.8,1191.80000,8956
2005-02-24,1192.1,1200.6,1187.1,1199.4,1192.1,1200.6,1187.1,1199.4,1199.40000,8748
2005-02-25,1199.1,1212.4,1198.9,1211.1,1199.1,1212.4,1198.9,1211.1,1211.10000,8106
2005-02-27,1211.0,1212.2,1210.7,1212.0,1211.0,1212.2,1210.7,1212.0,1212.00000,51
2005-02-28,1212.2,1214.0,1197.5,1203.5,1212.2,1214.0,1197.5,1203.5,1203.50000,8359
2005-03-01,1203.3,1212.5,1202.3,1207.8,1203.3,1212.5,1202.3,1207.8,1207.80000,8220
2005-03-02,1207.6,1216.3,1203.3,1208.6,1207.6,1216.3,1203.3,1208.6,1208.60000,9051
2005-03-03,1208.3,1216.1,1203.9,1209.6,1208.3,1216.1,1203.9,1209.6,1209.60000,9346
2005-03-04,1209.4,1225.2,1208.9,1224.2,1209.4,1225.2,1208.9,1224.2,1224.20000,8759
2005-03-06,1225.0,1227.0,1224.5,1226.5,1225.0,1227.0,1224.5,1226.5,1226.50000,97
2005-03-07,1226.3,1229.3,1222.8,1223.5,1226.3,1229.3,1222.8,1223.5,1223.50000,7912
2005-03-08,1223.3,1226.1,1218.1,1219.8,1223.3,1226.1,1218.1,1219.8,1219.80000,7706
2005-03-09,1219.6,1223.6,1206.1,1206.9,1219.6,1223.6,1206.1,1206.9,1206.90000,10022
2005-03-10,1206.6,1211.9,1200.7,1210.4,1206.6,1211.9,1200.7,1210.4,1210.40000,4447
2005-03-11,1210.7,1213.7,1197.7,1200.5,1210.7,1213.7,1197.7,1200.5,1200.50000,2432
2005-03-13,1201.3,1201.3,1199.8,1200.3,1201.3,1201.3,1199.8,1200.3,1200.30000,14
2005-03-14,1200.6,1208.6,1199.1,1208.1,1200.6,1208.6,1199.1,1208.1,1208.10000,1355
2005-03-15,1207.8,1211.6,1197.1,1197.9,1207.8,1211.6,1197.1,1197.9,1197.90000,1110
2005-03-16,1197.6,1201.9,1185.4,1188.7,1197.6,1201.9,1185.4,1188.7,1188.70000,1200
2005-03-17,1189.2,1193.5,1186.2,1190.0,1189.2,1193.5,1186.2,1190.0,1190.00000,738
2005-03-18,1190.2,1192.5,1182.0,1186.3,1190.2,1192.5,1182.0,1186.3,1186.30000,8881
2005-03-20,1187.1,1188.1,1186.9,1187.9,1187.1,1188.1,1186.9,1187.9,1187.90000,50
2005-03-21,1187.6,1189.2,1178.2,1182.0,1187.6,1189.2,1178.2,1182.0,1182.00000,9240
2005-03-22,1182.2,1189.5,1167.8,1169.3,1182.2,1189.5,1167.8,1169.3,1169.30000,9550
2005-03-23,1169.5,1176.1,1164.6,1170.8,1169.5,1176.1,1164.6,1170.8,1170.80000,10362
2005-03-24,1171.1,1180.1,1170.6,1171.9,1171.1,1180.1,1170.6,1171.9,1171.90000,8581
