date,o_bid,h_bid,l_bid,c_bid,o_ask,h_ask,l_ask,c_ask,c_mid,volume
2005-01-03,4818.4,4845.4,4811.9,4828.4,4818.4,4845.4,4811.9,4828.4,4828.40000,3474
2005-01-04,4810.9,4817.4,4798.9,4812.9,4810.9,4817.4,4798.9,4812.9,4812.90000,2837
2005-01-05,4801.4,4825.9,4801.4,4821.9,4801.4,4825.9,4801.4,4821.9,4821.90000,2273
2005-01-06,4813.4,4853.4,4809.9,4843.9,4813.4,4853.4,4809.9,4843.9,4843.90000,3383
2005-01-09,4831.0,4852.0,4824.5,4831.5,4831.0,4852.0,4824.5,4831.5,4831.50000,2715
2005-01-10,4826.0,4834.0,4795.5,4800.0,4826.0,4834.0,4795.5,4800.0,4800.00000,3665
2005-01-11,4804.6,4812.6,4753.1,4779.6,4804.6,4812.6,4753.1,4779.6,4779.60000,3127
2005-01-12,4795.6,4796.6,4770.6,4787.6,4795.6,4796.6,4770.6,4787.6,4787.60000,2955
2005-01-13,4769.6,4820.1,4767.6,4812.6,4769.6,4820.1,4767.6,4812.6,4812.60000,2862
2005-01-16,4814.2,4834.7,4813.2,4826.2,4814.2,4834.7,4813.2,4826.2,4826.20000,1535
2005-01-17,4820.7,4824.2,4785.7,4816.7,4820.7,4824.2,4785.7,4816.7,4816.70000,3613
2005-01-18,4821.2,4830.7,4796.7,4800.7,4821.2,4830.7,4796.7,4800.7,4800.70000,2760
2005-01-19,4780.7,4790.2,4766.2,4785.2,4780.7,4790.2,4766.2,4785.2,4785.20000,2937
2005-01-20,4782.3,4796.8,4765.3,4783.8,4782.3,4796.8,4765.3,4783.8,4783.80000,3283
2005-01-23,4764.8,4795.3,4748.8,4785.8,4764.8,4795.3,4748.8,4785.8,4785.80000,4005
2005-01-24,4782.8,4832.3,4781.9,4820.8,4782.8,4832.3,4781.9,4820.8,4820.80000,2999
2005-01-25,4819.9,4836.9,4816.9,4819.9,4819.9,4836.9,4816.9,4819.9,4819.90000,3178
2005-01-26,4824.4,4839.9,4811.4,4835.4,4824.4,4839.9,4811.4,4835.4,4835.40000,3228
2005-01-27,4836.9,4838.4,4802.4,4813.4,4836.9,4838.4,4802.4,4813.4,4813.40000,2937
2005-01-30,4843.0,4858.5,4824.5,4838.5,4843.0,4858.5,4824.5,4838.5,4838.50000,3140
2005-01-31,4831.0,4883.0,4826.0,4880.5,4831.0,4883.0,4826.0,4880.5,4880.50000,3958
2005-02-01,4880.5,4892.5,4871.5,4879.5,4880.5,4892.5,4871.5,4879.5,4879.50000,2730
2005-02-02,4889.0,4899.0,4871.0,4885.5,4889.0,4899.0,4871.0,4885.5,4885.50000,2304
2005-02-03,4899.0,4921.6,4891.1,4912.6,4899.0,4921.6,4891.1,4912.6,4912.60000,2619
2005-02-06,4928.1,4954.1,4926.6,4945.1,4928.1,4954.1,4926.6,4945.1,4945.10000,2343
2005-02-07,4951.1,4968.1,4939.1,4956.6,4951.1,4968.1,4939.1,4956.6,4956.60000,2915
2005-02-08,4964.1,4979.1,4950.1,4964.7,4964.1,4979.1,4950.1,4964.7,4964.70000,2554
2005-02-09,4960.2,4991.7,4955.7,4976.7,4960.2,4991.7,4955.7,4976.7,4976.70000,3045
2005-02-10,4983.2,5021.2,4979.2,5016.2,4983.2,5021.2,4979.2,5016.2,5016.20000,2790
2005-02-13,5016.3,5026.8,5004.8,5022.8,5016.3,5026.8,5004.8,5022.8,5022.80000,1965
2005-02-14,5021.8,5040.8,5010.8,5031.3,5021.8,5040.8,5010.8,5031.3,5031.30000,2862
2005-02-15,5031.3,5038.3,5014.8,5025.3,5031.3,5038.3,5014.8,5025.3,5025.30000,2981
2005-02-16,5033.3,5057.3,5031.8,5034.8,5033.3,5057.3,5031.8,5034.8,5034.80000,2723
2005-02-17,5034.3,5044.4,5024.4,5035.9,5034.3,5044.4,5024.4,5035.9,5035.90000,2950
2005-02-20,5043.4,5053.9,5024.4,5047.4,5043.4,5053.9,5024.4,5047.4,5047.40000,2083
2005-02-21,5039.4,5045.9,4989.9,4997.4,5039.4,5045.9,4989.9,4997.4,4997.40000,4052
2005-02-22,4985.5,4994.0,4951.5,4974.5,4985.5,4994.0,4951.5,4974.5,4974.50000,5786
2005-02-23,4986.0,4986.0,4950.5,4955.0,4986.0,4986.0,4950.5,4955.0,4955.00000,3475
2005-02-24,4979.5,4993.5,4966.0,4989.5,4979.5,4993.5,4966.0,4989.5,4989.50000,3352
2005-02-27,4995.1,5012.6,4940.1,4940.6,4995.1,5012.6,4940.1,4940.6,4940.60000,4447
2005-02-28,4953.1,4986.6,4947.1,4979.6,4953.1,4986.6,4947.1,4979.6,4979.60000,3367
2005-03-01,4972.6,4976.1,4947.6,4969.6,4972.6,4976.1,4947.6,4969.6,4969.60000,3175
2005-03-02,4963.6,5003.7,4962.6,4982.7,4963.6,5003.7,4962.6,4982.7,4982.70000,3320
2005-03-03,4991.7,5023.2,4986.2,5010.7,4991.7,5023.2,4986.2,5010.7,5010.70000,3201
2005-03-06,5018.2,5022.2,4993.3,5004.8,5018.2,5022.2,4993.3,5004.8,5004.80000,2256
2005-03-07,4991.3,5002.8,4978.8,4992.3,4991.3,5002.8,4978.8,4992.3,4992.30000,2791
2005-03-08,4996.8,5025.3,4967.3,4969.8,4996.8,5025.3,4967.3,4969.8,4969.80000,4128
2005-03-09,4959.8,4969.8,4943.8,4948.3,4959.8,4969.8,4943.8,4948.3,4948.30000,3347
2005-03-10,4967.8,4977.3,4956.8,4966.4,4967.8,4977.3,4956.8,4966.4,4966.40000,2964
2005-03-13,4959.4,4978.4,4929.9,4963.4,4959.4,4978.4,4929.9,4963.4,4963.40000,3101
2005-03-14,4965.9,4991.4,4962.9,4969.4,4965.9,4991.4,4962.9,4969.4,4969.40000,3414
